词ID,模型,词牌,题目,句数,平均语义相似度,平均字面相似度,最高语义相似度,最高字面相似度
332,qwen3.6-plus,清平乐,秋夜书怀,8,0.4311,0.0179,0.6737,0.1818
301,qwen3.6-plus,祝英台近,秋江夜泊,8,0.4300,0.0089,0.7033,0.2500
247,qwen3.6-plus,菩萨蛮,秋江夜泊,8,0.4232,0.0272,0.6292,0.2857
58,doubao-seed-2.0-pro,清平乐,秋郊晚眺,8,0.4223,0.0249,0.5783,0.1818
244,qwen3.6-plus,祝英台近,星槎夜渡,8,0.4213,0.0000,0.5505,0.0000
66,doubao-seed-2.0-pro,清平乐,夏晚村居,8,0.4211,0.0065,0.6165,0.1818
331,qwen3.6-plus,清平乐,秋暮,8,0.4199,0.0124,0.6307,0.1818
274,qwen3.6-plus,菩萨蛮,秋江夜泊,8,0.4175,0.0131,0.5945,0.2000
366,qwen3.6-plus,清平乐,春暮溪亭,8,0.4158,0.0143,0.6090,0.2000
330,qwen3.6-plus,清平乐,秋江夜泊,8,0.4128,0.0000,0.5722,0.0000
511,deepseek-3.2-thinking,菩萨蛮,秋江夜泊,8,0.4124,0.0214,0.5853,0.2000
51,doubao-seed-2.0-pro,清平乐,初夏郊居,8,0.4061,0.0000,0.6134,0.0000
323,qwen3.6-plus,清平乐,秋江夜泊,8,0.4060,0.0055,0.6390,0.1538
350,qwen3.6-plus,清平乐,秋江晚泊,8,0.4051,0.0190,0.5852,0.3333
308,qwen3.6-plus,菩萨蛮,秋江夜泊,8,0.4049,0.0000,0.5683,0.0000
229,qwen3.6-plus,清平乐,秋江夜泊,8,0.4013,0.0000,0.5756,0.0000
280,qwen3.6-plus,菩萨蛮,秋江晚望,8,0.4013,0.0060,0.5637,0.1667
257,qwen3.6-plus,清平乐,秋江夜泊,8,0.3994,0.0208,0.6174,0.2000
582,deepseek-3.2-thinking,沁园春,智海泛舟,25,0.3989,0.0075,0.6989,0.2857
209,qwen3.6-plus,菩萨蛮,秋江夜泊,8,0.3966,0.0131,0.5477,0.2000
181,doubao-seed-2.0-pro,菩萨蛮,郊居晚望,8,0.3965,0.0071,0.6426,0.2000
169,doubao-seed-2.0-pro,清平乐,山居夏晚,8,0.3964,0.0055,0.5629,0.1538
231,qwen3.6-plus,菩萨蛮,秋江望归,8,0.3949,0.0182,0.5742,0.2000
621,glm-5,清平乐,秋暮独倚,8,0.3948,0.0124,0.5909,0.1818
30,doubao-seed-2.0-pro,菩萨蛮,秋江客思,8,0.3938,0.0060,0.6303,0.1667
204,qwen3.6-plus,菩萨蛮,秋江客思,8,0.3931,0.0060,0.5789,0.1667
8,doubao-seed-2.0-pro,清平乐,夏晚过荷湾,8,0.3925,0.0071,0.6156,0.2000
362,qwen3.6-plus,菩萨蛮,秋江客思,8,0.3915,0.0071,0.5554,0.2000
125,doubao-seed-2.0-pro,清平乐,初夏郊行,8,0.3905,0.0055,0.5452,0.1538
245,qwen3.6-plus,菩萨蛮,秋江晚望,8,0.3904,0.0131,0.6147,0.2000
327,qwen3.6-plus,清平乐,秋江晚望,8,0.3890,0.0000,0.6089,0.0000
283,qwen3.6-plus,清平乐,秋江夜泊,8,0.3877,0.0055,0.7048,0.1538
367,qwen3.6-plus,菩萨蛮,秋夜江行,8,0.3876,0.0396,0.6528,0.2000
233,qwen3.6-plus,菩萨蛮,秋江夜泊,8,0.3847,0.0000,0.5613,0.0000
309,qwen3.6-plus,菩萨蛮,江秋旅思,8,0.3840,0.0119,0.7302,0.1667
599,glm-5,菩萨蛮,晚春独倚,8,0.3839,0.0000,0.6099,0.0000
79,doubao-seed-2.0-pro,清平乐,山斋晚坐,8,0.3838,0.0055,0.6160,0.1538
64,doubao-seed-2.0-pro,祝英台近,菱塘晚望,16,0.3837,0.0045,0.6369,0.2500
357,qwen3.6-plus,菩萨蛮,秋江夜泊,8,0.3835,0.0190,0.7354,0.2000
635,glm-5,清平乐,秋夜,8,0.3823,0.0124,0.4872,0.1818
239,qwen3.6-plus,清平乐,秋江夜泊,4,0.3821,0.0000,0.4989,0.0000
336,qwen3.6-plus,浪淘沙,江月行舟,10,0.3812,0.0380,0.6923,0.4444
256,qwen3.6-plus,祝英台近,秋江别思,16,0.3805,0.0064,0.6043,0.2857
49,doubao-seed-2.0-pro,菩萨蛮,秋暮江行,8,0.3797,0.0060,0.6179,0.1667
109,doubao-seed-2.0-pro,菩萨蛮,江行晚望,8,0.3791,0.0000,0.5392,0.0000
81,doubao-seed-2.0-pro,清平乐,湖滨晚步,8,0.3784,0.0000,0.4957,0.0000
354,qwen3.6-plus,清平乐,秋江夜泊,8,0.3778,0.0119,0.6327,0.1667
352,qwen3.6-plus,菩萨蛮,秋江夜泊,8,0.3776,0.0131,0.5251,0.2000
140,doubao-seed-2.0-pro,浪淘沙,客舟晚望,10,0.3774,0.0162,0.6586,0.2222
326,qwen3.6-plus,菩萨蛮,秋江夜泊,8,0.3773,0.0060,0.5646,0.1667
23,doubao-seed-2.0-pro,祝英台近,秋江旅思,16,0.3769,0.0076,0.5927,0.2500
224,qwen3.6-plus,祝英台近,秋江夜泊,8,0.3766,0.0071,0.5454,0.2000
452,deepseek-3.2-thinking,祝英台近,秋日寄远,16,0.3758,0.0104,0.6604,0.2222
347,qwen3.6-plus,浪淘沙,秋江怀古,10,0.3757,0.0252,0.6057,0.4000
