词ID,模型,词牌,题目,句数,平均语义相似度,平均字面相似度,最高语义相似度,最高字面相似度
421,qwen3.6-plus,沁园春,玉兰辞,13,0.4271,0.0065,0.7003,0.2857
415,qwen3.6-plus,沁园春,玉兰照眼,13,0.3806,0.0028,0.6605,0.2222
424,qwen3.6-plus,沁园春,玉兰吟,13,0.3780,0.0000,0.6396,0.0000
451,qwen3.6-plus,沁园春,玉兰照夜,13,0.3763,0.0119,0.6521,0.2500
435,qwen3.6-plus,沁园春,玉兰吟,13,0.3718,0.0023,0.7142,0.1818
403,qwen3.6-plus,沁园春,玉兰赋,13,0.3702,0.0079,0.5983,0.2500
447,qwen3.6-plus,沁园春,玉兰照夜,13,0.3652,0.0037,0.6541,0.2857
497,qwen3.6-plus,沁园春,见玉兰有感,25,0.3637,0.0120,0.6362,0.2857
413,qwen3.6-plus,沁园春,玉兰悟,13,0.3635,0.0061,0.5270,0.2500
437,qwen3.6-plus,沁园春,玉兰启明,13,0.3619,0.0139,0.6447,0.3636
419,qwen3.6-plus,沁园春,玉兰逢春,23,0.3616,0.0172,0.7950,0.5000
448,qwen3.6-plus,沁园春,玉兰照夜,13,0.3613,0.0092,0.6419,0.2857
88,doubao-seed-2.0-pro,沁园春,庭下观玉兰偶作,25,0.3607,0.0091,0.7096,0.2857
76,doubao-seed-2.0-pro,沁园春,校中观玉兰有感,25,0.3606,0.0105,0.6368,0.2857
414,qwen3.6-plus,沁园春,玉兰启悟,13,0.3584,0.0125,0.6315,0.2500
455,qwen3.6-plus,沁园春,白玉兰叹,13,0.3567,0.0032,0.6874,0.2500
436,qwen3.6-plus,沁园春,玉兰启明,13,0.3557,0.0032,0.5261,0.2500
446,qwen3.6-plus,沁园春,玉兰启志,13,0.3554,0.0084,0.5166,0.2500
195,doubao-seed-2.0-pro,沁园春,观玉兰偶作,25,0.3540,0.0095,0.8161,0.3333
411,qwen3.6-plus,沁园春,玉兰花前作,13,0.3535,0.0158,0.6228,0.2857
401,qwen3.6-plus,沁园春,玉兰初绽有感,13,0.3529,0.0032,0.6129,0.2500
99,doubao-seed-2.0-pro,沁园春,寓所观玉兰有感,25,0.3519,0.0117,0.8106,0.5000
96,doubao-seed-2.0-pro,沁园春,庭中观玉兰花作,25,0.3515,0.0073,0.6451,0.2500
466,qwen3.6-plus,沁园春,玉兰辞,13,0.3508,0.0047,0.5641,0.2000
514,qwen3.6-plus,沁园春,玉兰偶悟,25,0.3506,0.0143,0.7083,0.2857
462,qwen3.6-plus,沁园春,玉兰见志,13,0.3506,0.0000,0.5247,0.0000
200,doubao-seed-2.0-pro,沁园春,阶前观玉兰作,25,0.3496,0.0087,0.6730,0.3333
492,qwen3.6-plus,沁园春,玉兰有感,25,0.3483,0.0060,0.6664,0.3333
114,doubao-seed-2.0-pro,沁园春,春日见玉兰感怀,25,0.3482,0.0075,0.7173,0.2857
72,doubao-seed-2.0-pro,沁园春,寓舍见玉兰花作,25,0.3482,0.0069,0.7179,0.2857
501,qwen3.6-plus,沁园春,白玉兰见怀,25,0.3480,0.0076,0.7435,0.4000
481,qwen3.6-plus,沁园春,玉兰初绽,25,0.3472,0.0084,0.6794,0.4444
2,doubao-seed-2.0-pro,沁园春,校中见玉兰作,25,0.3471,0.0035,0.6373,0.2500
53,doubao-seed-2.0-pro,沁园春,苑中见玉兰作,25,0.3464,0.0085,0.6594,0.2500
467,qwen3.6-plus,沁园春,玉兰启新,13,0.3458,0.0055,0.6643,0.2500
445,qwen3.6-plus,沁园春,玉兰启蛰,13,0.3458,0.0032,0.5792,0.2500
489,qwen3.6-plus,沁园春,见庭畔玉兰有作,25,0.3452,0.0094,0.6673,0.3077
525,qwen3.6-plus,沁园春,玉兰偶感,25,0.3447,0.0075,0.6687,0.2857
81,doubao-seed-2.0-pro,沁园春,春日见玉兰作,25,0.3446,0.0057,0.6157,0.2857
425,qwen3.6-plus,沁园春,玉兰引,13,0.3445,0.0089,0.6198,0.2500
69,doubao-seed-2.0-pro,沁园春,春庭见玉兰感怀,25,0.3444,0.0090,0.8505,0.5714
412,qwen3.6-plus,沁园春,玉兰初绽有感,25,0.3444,0.0042,0.6390,0.2500
73,doubao-seed-2.0-pro,沁园春,庭前观玉兰作,25,0.3443,0.0073,0.7435,0.2500
102,doubao-seed-2.0-pro,沁园春,校园见玉兰花作,25,0.3440,0.0084,0.6719,0.3333
442,qwen3.6-plus,沁园春,玉兰赋志,13,0.3440,0.0000,0.6005,0.0000
6,doubao-seed-2.0-pro,沁园春,寓舍见玉兰花作,25,0.3440,0.0070,0.6681,0.2857
137,doubao-seed-2.0-pro,沁园春,春日见玉兰感怀,25,0.3438,0.0073,0.8141,0.5714
422,qwen3.6-plus,沁园春,玉兰辞,13,0.3432,0.0064,0.5597,0.2500
87,doubao-seed-2.0-pro,沁园春,校园观玉兰花感怀,25,0.3426,0.0141,0.8145,0.6667
110,doubao-seed-2.0-pro,沁园春,春日观玉兰感怀,25,0.3424,0.0067,0.6476,0.2500
149,doubao-seed-2.0-pro,沁园春,寓舍见玉兰作,25,0.3423,0.0101,0.6897,0.2500
38,doubao-seed-2.0-pro,沁园春,寓舍见玉兰花感作,25,0.3418,0.0048,0.7344,0.2857
140,doubao-seed-2.0-pro,沁园春,校园见玉兰感作,25,0.3415,0.0096,0.8002,0.5714
82,doubao-seed-2.0-pro,沁园春,校园见玉兰感怀,25,0.3411,0.0080,0.6625,0.2500
56,doubao-seed-2.0-pro,沁园春,寓舍见玉兰花作,25,0.3409,0.0112,0.6113,0.3333
186,doubao-seed-2.0-pro,沁园春,见阶前玉兰花感怀,25,0.3409,0.0063,0.6944,0.2500
55,doubao-seed-2.0-pro,沁园春,檐下观玉兰感作,25,0.3409,0.0126,0.6386,0.2857
122,doubao-seed-2.0-pro,沁园春,见玉兰感作,25,0.3409,0.0073,0.7103,0.2500
548,qwen3.6-plus,沁园春,白玉兰,25,0.3408,0.0178,0.7865,0.4000
484,qwen3.6-plus,沁园春,见玉兰有感,25,0.3407,0.0143,0.7196,0.5000
164,doubao-seed-2.0-pro,沁园春,寓舍见玉兰感作,25,0.3406,0.0067,0.6345,0.2500
500,qwen3.6-plus,沁园春,白玉兰,25,0.3402,0.0107,0.6278,0.2857
544,qwen3.6-plus,沁园春,玉兰悟道,25,0.3399,0.0084,0.7020,0.2857
183,doubao-seed-2.0-pro,沁园春,校园观玉兰有感,25,0.3393,0.0092,0.7712,0.4444
103,doubao-seed-2.0-pro,沁园春,校中见玉兰感怀,25,0.3391,0.0064,0.7654,0.5714
98,doubao-seed-2.0-pro,沁园春,见庭中玉兰花作,25,0.3391,0.0065,0.6871,0.2500
157,doubao-seed-2.0-pro,沁园春,暮春见玉兰有感,25,0.3390,0.0048,0.6102,0.2500
321,deepseek-3.2-thinking,沁园春,玉兰吟,25,0.3390,0.0114,0.6591,0.2500
174,doubao-seed-2.0-pro,沁园春,寓楼见玉兰感作,25,0.3389,0.0052,0.6121,0.2222
535,qwen3.6-plus,沁园春,见玉兰有感,25,0.3388,0.0089,0.8106,0.3333
449,qwen3.6-plus,沁园春,玉兰见怀,25,0.3387,0.0109,0.7370,0.4444
459,qwen3.6-plus,沁园春,玉兰醒志,13,0.3387,0.0021,0.5652,0.1667
