模型,句1词牌,句1题目,句1内容,句2词牌,句2题目,句2内容,语义相似度,字面相似度,差值(伪原创指数)
doubao-seed-2.0-pro,清平乐,宗阁夜思,殿角松风扫,清平乐,宗门夜思,殿角松风扫,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,清平乐,宗门夜坐抒怀,松阶露冷,清平乐,夜坐凌霄阁感怀,松阶露冷,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,清平乐,宗门夜坐抒怀,松阶露冷,清平乐,宗门夜思,松阶露冷,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,清平乐,宗门夜思,松阶露冷,清平乐,夜坐凌霄阁感怀,松阶露冷,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,凌霄阁夜坐有感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄宗夜坐书怀,看阶前弟子,沁园春,宗门感怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,宗门感事,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄峰议事后感,鹤唳松风,沁园春,宗门夜坐感怀,鹤唳松风,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,浪淘沙,宗门感事,寸心辗转自熬煎,浪淘沙,云阁夜坐抒怀,寸心辗转自熬煎,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,宗门感怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,宗门感怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,宗门夜坐感事,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,宗门感事,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,登观星台述怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,凌霄宗议事书怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,玄峰议事后感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,宗门感事,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,宗门感怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,登望云峰有感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,宗阁有所思,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,登观星台述怀,看阶前弟子,沁园春,登望云峰有感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感事,看阶前弟子,沁园春,宗门感怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,登观星台述怀,看阶前弟子,沁园春,玄峰议事后感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感事,看阶前弟子,沁园春,登望云峰有感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,祝英台近,宗门夜坐书怀,暮云深,祝英台近,宗门夜坐感怀,暮云深,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感事,看阶前弟子,沁园春,宗阁有所思,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,登观星台述怀,看阶前弟子,沁园春,宗门感事,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感事,看阶前弟子,沁园春,宗阁有所思,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,登望云峰有感,看阶前弟子,沁园春,宗阁有所思,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄宗议事书怀,看阶前弟子,沁园春,登望云峰有感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,宗门感怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,宗门夜坐感事,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,宗门感事,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,登观星台述怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,凌霄宗议事书怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,玄峰议事后感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,宗门感怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,宗门感事,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,登望云峰有感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,凌霄阁夜坐有感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,宗阁有所思,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,宗门夜坐感事,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,宗门感事,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,登观星台述怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,凌霄宗议事书怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,玄峰议事后感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,宗门感怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,宗门感事,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,登望云峰有感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,凌霄阁夜坐有感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,宗阁有所思,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,登观星台述怀,看阶前弟子,沁园春,宗门感怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感事,看阶前弟子,沁园春,宗门感事,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,登望云峰有感,看阶前弟子,沁园春,凌霄阁夜坐有感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄门感怀,看阶前弟子,沁园春,玄宗夜坐书怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄门感怀,看阶前弟子,沁园春,宗门感怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄门感怀,看阶前弟子,沁园春,宗门感怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄门感怀,看阶前弟子,沁园春,宗门感怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄门感怀,看阶前弟子,沁园春,宗门夜坐感事,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄门感怀,看阶前弟子,沁园春,宗门感事,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄门感怀,看阶前弟子,沁园春,登观星台述怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄门感怀,看阶前弟子,沁园春,凌霄宗议事书怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄门感怀,看阶前弟子,沁园春,玄峰议事后感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄门感怀,看阶前弟子,沁园春,登望云峰有感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄门感怀,看阶前弟子,沁园春,宗门感怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄门感怀,看阶前弟子,沁园春,宗门感事,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄门感怀,看阶前弟子,沁园春,凌霄阁夜坐有感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄门感怀,看阶前弟子,沁园春,宗阁有所思,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感事,看阶前弟子,沁园春,玄峰议事后感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,登观星台述怀,看阶前弟子,沁园春,凌霄阁夜坐有感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感事,看阶前弟子,沁园春,登观星台述怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄峰议事后感,看阶前弟子,沁园春,宗门感事,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄峰感事,鹤唳松风,沁园春,宗门夜坐感怀,鹤唳松风,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门夜坐感事,看阶前弟子,沁园春,宗门感事,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门夜坐感事,看阶前弟子,沁园春,登观星台述怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门夜坐感事,看阶前弟子,沁园春,凌霄宗议事书怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门夜坐感事,看阶前弟子,沁园春,玄峰议事后感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门夜坐感事,看阶前弟子,沁园春,宗门感怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门夜坐感事,看阶前弟子,沁园春,宗门感事,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门夜坐感事,看阶前弟子,沁园春,登望云峰有感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄宗议事书怀,看阶前弟子,沁园春,宗阁有所思,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门夜坐感事,看阶前弟子,沁园春,凌霄阁夜坐有感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门夜坐感事,看阶前弟子,沁园春,宗阁有所思,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄峰议事后感,鹤唳松风,沁园春,凌霄峰感事,鹤唳松风,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,登观星台述怀,看阶前弟子,沁园春,凌霄宗议事书怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄峰议事后感,看阶前弟子,沁园春,宗门感怀,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄宗议事书怀,看阶前弟子,沁园春,玄峰议事后感,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,看阶前弟子,沁园春,宗阁有所思,看阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感事,看阶前弟子,沁园春,凌霄阁夜坐有感,看阶前弟子,1.0000,1.0000,0.0000
