db,db_label,prompt_type,model,cipai,count,proportion,rank,total_poems
a1,无限制生成,type_c,deepseek-3.2-thinking,鹧鸪天,15,0.300000,1,50
a1,无限制生成,type_c,deepseek-3.2-thinking,青玉案,11,0.220000,2,50
a1,无限制生成,type_c,deepseek-3.2-thinking,蝶恋花,5,0.100000,3,50
a1,无限制生成,type_c,deepseek-3.2-thinking,西江月,4,0.080000,4,50
a1,无限制生成,type_c,deepseek-3.2-thinking,临江仙,3,0.060000,5,50
a1,无限制生成,type_c,deepseek-3.2-thinking,浣溪沙,3,0.060000,6,50
a1,无限制生成,type_c,deepseek-3.2-thinking,卜算子,3,0.060000,7,50
a1,无限制生成,type_c,deepseek-3.2-thinking,踏莎行,1,0.020000,8,50
a1,无限制生成,type_c,deepseek-3.2-thinking,鹊桥仙,1,0.020000,9,50
a1,无限制生成,type_c,deepseek-3.2-thinking,清平乐,1,0.020000,10,50
a1,无限制生成,type_c,deepseek-3.2-thinking,江城子,1,0.020000,11,50
a1,无限制生成,type_c,deepseek-3.2-thinking,醉花阴,1,0.020000,12,50
a1,无限制生成,type_c,deepseek-3.2-thinking,忆江南,1,0.020000,13,50
a1,无限制生成,type_c,doubao-seed-2.0-pro,鹧鸪天,26,0.520000,1,50
a1,无限制生成,type_c,doubao-seed-2.0-pro,卜算子,18,0.360000,2,50
a1,无限制生成,type_c,doubao-seed-2.0-pro,浣溪沙,5,0.100000,3,50
a1,无限制生成,type_c,doubao-seed-2.0-pro,清平乐,1,0.020000,4,50
a1,无限制生成,type_c,gemini-3-flash,临江仙,3,0.150000,1,20
a1,无限制生成,type_c,gemini-3-flash,定风波,3,0.150000,2,20
a1,无限制生成,type_c,gemini-3-flash,鹧鸪天,2,0.100000,3,20
a1,无限制生成,type_c,gemini-3-flash,踏莎行,2,0.100000,4,20
a1,无限制生成,type_c,gemini-3-flash,青玉案,2,0.100000,5,20
a1,无限制生成,type_c,gemini-3-flash,满庭芳,2,0.100000,6,20
a1,无限制生成,type_c,gemini-3-flash,贺新郎,2,0.100000,7,20
a1,无限制生成,type_c,gemini-3-flash,念奴娇,1,0.050000,8,20
a1,无限制生成,type_c,gemini-3-flash,江城子,1,0.050000,9,20
a1,无限制生成,type_c,gemini-3-flash,八声甘州,1,0.050000,10,20
a1,无限制生成,type_c,gemini-3-flash,苏幕遮,1,0.050000,11,20
a1,无限制生成,type_c,gemini-3.1-pro,踏莎行,5,0.500000,1,10
a1,无限制生成,type_c,gemini-3.1-pro,鹧鸪天,2,0.200000,2,10
a1,无限制生成,type_c,gemini-3.1-pro,卜算子,1,0.100000,3,10
a1,无限制生成,type_c,gemini-3.1-pro,浣溪沙,1,0.100000,4,10
a1,无限制生成,type_c,gemini-3.1-pro,相见欢,1,0.100000,5,10
a1,无限制生成,type_c,glm-4.7,满江红,6,0.133333,1,45
a1,无限制生成,type_c,glm-4.7,八声甘州,6,0.133333,2,45
a1,无限制生成,type_c,glm-4.7,水龙吟,4,0.088889,3,45
a1,无限制生成,type_c,glm-4.7,沁园春,4,0.088889,4,45
a1,无限制生成,type_c,glm-4.7,水调歌头,3,0.066667,5,45
a1,无限制生成,type_c,glm-4.7,鹧鸪天,3,0.066667,6,45
a1,无限制生成,type_c,glm-4.7,苏幕遮,2,0.044444,7,45
