db,db_label,prompt_type,model,category,count,proportion,rank,total_poems,categorized_poems,category_coverage
a1,无限制生成,type_c,deepseek-3.2-thinking,咏物寄托,13,0.260000,1,50,50,1.000000
a1,无限制生成,type_c,deepseek-3.2-thinking,悼亡相思,9,0.180000,2,50,50,1.000000
a1,无限制生成,type_c,deepseek-3.2-thinking,豪情壮志,7,0.140000,3,50,50,1.000000
a1,无限制生成,type_c,deepseek-3.2-thinking,谈禅说理,6,0.120000,4,50,50,1.000000
a1,无限制生成,type_c,deepseek-3.2-thinking,闲适隐逸,5,0.100000,5,50,50,1.000000
a1,无限制生成,type_c,deepseek-3.2-thinking,春怨秋悲,3,0.060000,6,50,50,1.000000
a1,无限制生成,type_c,deepseek-3.2-thinking,山水田园,3,0.060000,7,50,50,1.000000
a1,无限制生成,type_c,deepseek-3.2-thinking,怀古咏史,2,0.040000,8,50,50,1.000000
a1,无限制生成,type_c,deepseek-3.2-thinking,离别羁旅,2,0.040000,9,50,50,1.000000
a1,无限制生成,type_c,doubao-seed-2.0-pro,闲适隐逸,14,0.280000,1,50,50,1.000000
a1,无限制生成,type_c,doubao-seed-2.0-pro,山水田园,11,0.220000,2,50,50,1.000000
a1,无限制生成,type_c,doubao-seed-2.0-pro,离别羁旅,8,0.160000,3,50,50,1.000000
a1,无限制生成,type_c,doubao-seed-2.0-pro,春怨秋悲,6,0.120000,4,50,50,1.000000
a1,无限制生成,type_c,doubao-seed-2.0-pro,悼亡相思,5,0.100000,5,50,50,1.000000
a1,无限制生成,type_c,doubao-seed-2.0-pro,咏物寄托,4,0.080000,6,50,50,1.000000
a1,无限制生成,type_c,doubao-seed-2.0-pro,怀古咏史,2,0.040000,7,50,50,1.000000
a1,无限制生成,type_c,gemini-3-flash,谈禅说理,7,0.350000,1,20,20,1.000000
a1,无限制生成,type_c,gemini-3-flash,豪情壮志,4,0.200000,2,20,20,1.000000
a1,无限制生成,type_c,gemini-3-flash,悼亡相思,3,0.150000,3,20,20,1.000000
a1,无限制生成,type_c,gemini-3-flash,离别羁旅,3,0.150000,4,20,20,1.000000
a1,无限制生成,type_c,gemini-3-flash,怀古咏史,2,0.100000,5,20,20,1.000000
a1,无限制生成,type_c,gemini-3-flash,闲适隐逸,1,0.050000,6,20,20,1.000000
a1,无限制生成,type_c,gemini-3.1-pro,离别羁旅,4,0.400000,1,10,10,1.000000
a1,无限制生成,type_c,gemini-3.1-pro,谈禅说理,3,0.300000,2,10,10,1.000000
a1,无限制生成,type_c,gemini-3.1-pro,豪情壮志,1,0.100000,3,10,10,1.000000
a1,无限制生成,type_c,gemini-3.1-pro,春怨秋悲,1,0.100000,4,10,10,1.000000
a1,无限制生成,type_c,gemini-3.1-pro,咏物寄托,1,0.100000,5,10,10,1.000000
a1,无限制生成,type_c,glm-4.7,豪情壮志,12,0.266667,1,45,45,1.000000
a1,无限制生成,type_c,glm-4.7,离别羁旅,12,0.266667,2,45,45,1.000000
a1,无限制生成,type_c,glm-4.7,闲适隐逸,9,0.200000,3,45,45,1.000000
a1,无限制生成,type_c,glm-4.7,咏物寄托,4,0.088889,4,45,45,1.000000
a1,无限制生成,type_c,glm-4.7,悼亡相思,3,0.066667,5,45,45,1.000000
a1,无限制生成,type_c,glm-4.7,春怨秋悲,2,0.044444,6,45,45,1.000000
a1,无限制生成,type_c,glm-4.7,谈禅说理,2,0.044444,7,45,45,1.000000
a1,无限制生成,type_c,glm-4.7,怀古咏史,1,0.022222,8,45,45,1.000000
a1,无限制生成,type_c,glm-5,离别羁旅,14,0.280000,1,50,50,1.000000
a1,无限制生成,type_c,glm-5,闲适隐逸,10,0.200000,2,50,50,1.000000
a1,无限制生成,type_c,glm-5,春怨秋悲,8,0.160000,3,50,50,1.000000
a1,无限制生成,type_c,glm-5,豪情壮志,6,0.120000,4,50,50,1.000000
a1,无限制生成,type_c,glm-5,怀古咏史,4,0.080000,5,50,50,1.000000
a1,无限制生成,type_c,glm-5,咏物寄托,3,0.060000,6,50,50,1.000000
a1,无限制生成,type_c,glm-5,悼亡相思,3,0.060000,7,50,50,1.000000
a1,无限制生成,type_c,glm-5,谈禅说理,2,0.040000,8,50,50,1.000000
a1,无限制生成,type_c,gpt-5.4-high,闲适隐逸,2,1.000000,1,2,2,1.000000
a1,无限制生成,type_c,kimi-k2.5,咏物寄托,9,0.321429,1,28,28,1.000000
a1,无限制生成,type_c,kimi-k2.5,谈禅说理,7,0.250000,2,28,28,1.000000
a1,无限制生成,type_c,kimi-k2.5,豪情壮志,4,0.142857,3,28,28,1.000000
a1,无限制生成,type_c,kimi-k2.5,怀古咏史,3,0.107143,4,28,28,1.000000
a1,无限制生成,type_c,kimi-k2.5,离别羁旅,3,0.107143,5,28,28,1.000000
a1,无限制生成,type_c,kimi-k2.5,闲适隐逸,2,0.071429,6,28,28,1.000000
a1,无限制生成,type_c,qwen3-max,离别羁旅,40,0.833333,1,48,48,1.000000
a1,无限制生成,type_c,qwen3-max,悼亡相思,5,0.104167,2,48,48,1.000000
a1,无限制生成,type_c,qwen3-max,闲适隐逸,2,0.041667,3,48,48,1.000000
a1,无限制生成,type_c,qwen3-max,怀古咏史,1,0.020833,4,48,48,1.000000
a1,无限制生成,type_c,qwen3.5-flash,离别羁旅,23,0.460000,1,50,50,1.000000
a1,无限制生成,type_c,qwen3.5-flash,悼亡相思,8,0.160000,2,50,50,1.000000
a1,无限制生成,type_c,qwen3.5-flash,闲适隐逸,6,0.120000,3,50,50,1.000000
a1,无限制生成,type_c,qwen3.5-flash,怀古咏史,5,0.100000,4,50,50,1.000000
a1,无限制生成,type_c,qwen3.5-flash,豪情壮志,3,0.060000,5,50,50,1.000000
a1,无限制生成,type_c,qwen3.5-flash,山水田园,2,0.040000,6,50,50,1.000000
a1,无限制生成,type_c,qwen3.5-flash,春怨秋悲,1,0.020000,7,50,50,1.000000
a1,无限制生成,type_c,qwen3.5-flash,咏物寄托,1,0.020000,8,50,50,1.000000
a1,无限制生成,type_c,qwen3.5-flash,谈禅说理,1,0.020000,9,50,50,1.000000
a1,无限制生成,type_c,qwen3.6-plus,离别羁旅,29,0.591837,1,49,49,1.000000
a1,无限制生成,type_c,qwen3.6-plus,闲适隐逸,8,0.163265,2,49,49,1.000000
a1,无限制生成,type_c,qwen3.6-plus,豪情壮志,4,0.081633,3,49,49,1.000000
a1,无限制生成,type_c,qwen3.6-plus,怀古咏史,2,0.040816,4,49,49,1.000000
a1,无限制生成,type_c,qwen3.6-plus,谈禅说理,2,0.040816,5,49,49,1.000000
a1,无限制生成,type_c,qwen3.6-plus,春怨秋悲,2,0.040816,6,49,49,1.000000
a1,无限制生成,type_c,qwen3.6-plus,咏物寄托,1,0.020408,7,49,49,1.000000
a1,无限制生成,type_c,qwen3.6-plus,悼亡相思,1,0.020408,8,49,49,1.000000
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,离别羁旅,56,0.280000,1,200,200,1.000000
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,豪情壮志,28,0.140000,2,200,200,1.000000
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,闲适隐逸,28,0.140000,3,200,200,1.000000
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,谈禅说理,20,0.100000,4,200,200,1.000000
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,春怨秋悲,19,0.095000,5,200,200,1.000000
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,悼亡相思,15,0.075000,6,200,200,1.000000
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,咏物寄托,15,0.075000,7,200,200,1.000000
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,怀古咏史,14,0.070000,8,200,200,1.000000
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,山水田园,5,0.025000,9,200,200,1.000000
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,离别羁旅,96,0.480000,1,200,200,1.000000
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,闲适隐逸,34,0.170000,2,200,200,1.000000
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,怀古咏史,25,0.125000,3,200,200,1.000000
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,悼亡相思,20,0.100000,4,200,200,1.000000
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,山水田园,18,0.090000,5,200,200,1.000000
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,春怨秋悲,7,0.035000,6,200,200,1.000000
b1,五词牌-无主题,type_b,glm-5,离别羁旅,33,0.336735,1,98,98,1.000000
b1,五词牌-无主题,type_b,glm-5,闲适隐逸,25,0.255102,2,98,98,1.000000
b1,五词牌-无主题,type_b,glm-5,春怨秋悲,12,0.122449,3,98,98,1.000000
b1,五词牌-无主题,type_b,glm-5,豪情壮志,10,0.102041,4,98,98,1.000000
b1,五词牌-无主题,type_b,glm-5,悼亡相思,6,0.061224,5,98,98,1.000000
b1,五词牌-无主题,type_b,glm-5,怀古咏史,6,0.061224,6,98,98,1.000000
b1,五词牌-无主题,type_b,glm-5,谈禅说理,3,0.030612,7,98,98,1.000000
b1,五词牌-无主题,type_b,glm-5,山水田园,2,0.020408,8,98,98,1.000000
b1,五词牌-无主题,type_b,glm-5,咏物寄托,1,0.010204,9,98,98,1.000000
b1,五词牌-无主题,type_b,qwen3.6-plus,离别羁旅,108,0.574468,1,188,188,1.000000
b1,五词牌-无主题,type_b,qwen3.6-plus,怀古咏史,22,0.117021,2,188,188,1.000000
b1,五词牌-无主题,type_b,qwen3.6-plus,闲适隐逸,21,0.111702,3,188,188,1.000000
b1,五词牌-无主题,type_b,qwen3.6-plus,悼亡相思,11,0.058511,4,188,188,1.000000
b1,五词牌-无主题,type_b,qwen3.6-plus,豪情壮志,11,0.058511,5,188,188,1.000000
b1,五词牌-无主题,type_b,qwen3.6-plus,春怨秋悲,9,0.047872,6,188,188,1.000000
b1,五词牌-无主题,type_b,qwen3.6-plus,山水田园,4,0.021277,7,188,188,1.000000
b1,五词牌-无主题,type_b,qwen3.6-plus,谈禅说理,1,0.005319,8,188,188,1.000000
b1,五词牌-无主题,type_b,qwen3.6-plus,咏物寄托,1,0.005319,9,188,188,1.000000
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,咏物寄托,78,0.390000,1,200,200,1.000000
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,谈禅说理,77,0.385000,2,200,200,1.000000
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,豪情壮志,45,0.225000,3,200,200,1.000000
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,谈禅说理,126,0.630000,1,200,200,1.000000
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,咏物寄托,66,0.330000,2,200,200,1.000000
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,豪情壮志,8,0.040000,3,200,200,1.000000
b2,五词牌-改革主题,type_d,gemini-3.1-pro,咏物寄托,4,1.000000,1,4,4,1.000000
b2,五词牌-改革主题,type_d,glm-5,咏物寄托,34,0.539683,1,63,63,1.000000
b2,五词牌-改革主题,type_d,glm-5,豪情壮志,17,0.269841,2,63,63,1.000000
b2,五词牌-改革主题,type_d,glm-5,谈禅说理,12,0.190476,3,63,63,1.000000
b2,五词牌-改革主题,type_d,qwen3.6-plus,咏物寄托,67,0.416149,1,161,161,1.000000
b2,五词牌-改革主题,type_d,qwen3.6-plus,豪情壮志,51,0.316770,2,161,161,1.000000
b2,五词牌-改革主题,type_d,qwen3.6-plus,谈禅说理,43,0.267081,3,161,161,1.000000
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,咏物寄托,186,0.930000,1,200,200,1.000000
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,谈禅说理,10,0.050000,2,200,200,1.000000
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,豪情壮志,2,0.010000,3,200,200,1.000000
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,闲适隐逸,1,0.005000,4,200,200,1.000000
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,春怨秋悲,1,0.005000,5,200,200,1.000000
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,咏物寄托,183,0.915000,1,200,200,1.000000
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,豪情壮志,17,0.085000,2,200,200,1.000000
b3,五词牌-玉兰主题,type_d,gemini-3.1-pro,咏物寄托,2,1.000000,1,2,2,1.000000
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,咏物寄托,173,0.915344,1,189,189,1.000000
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,豪情壮志,12,0.063492,2,189,189,1.000000
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,春怨秋悲,3,0.015873,3,189,189,1.000000
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,谈禅说理,1,0.005291,4,189,189,1.000000
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,咏物寄托,193,0.965000,1,200,200,1.000000
