db,db_label,prompt_type,model,category,category_poem_count,category_ratio_in_model,imagery_covered_poems,imagery_coverage,total_imagery_tokens,distinct_imagery_count,avg_imagery_per_poem,imagery_entropy,imagery_hhi,top10_imagery_ratio,top5_imageries,signature_top5_imageries,top1_signature_imagery,top1_signature_lift
a1,无限制生成,type_c,deepseek-3.2-thinking,咏物寄托,13,0.260000,13,1.000000,109,69,8.384615,5.642999,0.030721,0.440367,代码:10|数据:8|算法:7|键盘:6|星河:4,屏幕:3.85x|古韵:3.85x|夜色:3.85x|幻影:3.85x|一点红:3.85x,屏幕,3.846154
a1,无限制生成,type_c,deepseek-3.2-thinking,山水田园,3,0.060000,3,1.000000,31,31,10.333333,4.954196,0.032258,0.322581,碧水:1|轻舟:1|青山:1|远黛:1|渔歌:1,余晖:16.67x|凉雨:16.67x|市声:16.67x|平湖:16.67x|广厦:16.67x,余晖,16.666667
a1,无限制生成,type_c,deepseek-3.2-thinking,怀古咏史,2,0.040000,2,1.000000,18,18,9.000000,4.169925,0.055556,0.555556,落月:1|稀星:1|轻风:1|冷露:1|空庭:1,仙槎:25.00x|冷露:25.00x|危楼:25.00x|星霰:25.00x|暮云:25.00x,仙槎,25.000000
a1,无限制生成,type_c,deepseek-3.2-thinking,悼亡相思,9,0.180000,9,1.000000,88,78,9.777778,6.192275,0.015238,0.227273,代码:4|数据:3|星空:3|细雨:2|算法:2,东君:5.56x|云山:5.56x|云涛:5.56x|光流:5.56x|危栏:5.56x,东君,5.555556
a1,无限制生成,type_c,deepseek-3.2-thinking,春怨秋悲,3,0.060000,3,1.000000,27,26,9.000000,4.680813,0.039781,0.407407,斜阳:2|夜雨:1|窗牖:1|更漏:1|灯花:1,斜阳:16.67x|书房:16.67x|墨痕:16.67x|寒蝉:16.67x|晨曦:16.67x,斜阳,16.666667
a1,无限制生成,type_c,deepseek-3.2-thinking,离别羁旅,2,0.040000,2,1.000000,17,16,8.500000,3.969816,0.065744,0.647059,明月:2|暮雨:1|客舍:1|竹影:1|窗纱:1,客舍:25.00x|故园:25.00x|暮雨:25.00x|柴门:25.00x|流霞:25.00x,客舍,25.000000
a1,无限制生成,type_c,deepseek-3.2-thinking,谈禅说理,6,0.120000,6,1.000000,50,46,8.333333,5.483856,0.023200,0.280000,数据:2|智能:2|云:2|虚空:2|书卷:1,虚空:8.33x|万象:8.33x|乾坤:8.33x|光速:8.33x|墨迹:8.33x,虚空,8.333333
a1,无限制生成,type_c,deepseek-3.2-thinking,豪情壮志,7,0.140000,7,1.000000,50,41,7.142857,5.228758,0.030400,0.380000,数据:4|网络:3|算法:2|代码:2|指尖:2,指尖:7.14x|世界村:7.14x|九天:7.14x|云桥:7.14x|信息路:7.14x,指尖,7.142857
a1,无限制生成,type_c,deepseek-3.2-thinking,闲适隐逸,5,0.100000,5,1.000000,49,44,9.800000,5.410628,0.024573,0.306122,落月:2|轻舟:2|长空:2|青山:2|碧水:2,乱云:10.00x|云雾:10.00x|夏梦:10.00x|姮娥:10.00x|山川:10.00x,乱云,10.000000
a1,无限制生成,type_c,doubao-seed-2.0-pro,咏物寄托,4,0.080000,4,1.000000,26,26,6.500000,4.700440,0.038462,0.384615,秋水:1|残荷:1|青蛙:1|圆萍:1|宿蝶:1,东风:12.50x|凉枕:12.50x|圆萍:12.50x|宿蝶:12.50x|巷陌:12.50x,东风,12.500000
a1,无限制生成,type_c,doubao-seed-2.0-pro,山水田园,11,0.220000,11,1.000000,123,117,11.181818,6.838816,0.009055,0.130081,清露:3|野菊:2|石径:2|落叶:2|晚晴:2,晚晴:4.55x|落叶:4.55x|乡音:4.55x|乳燕:4.55x|云:4.55x,晚晴,4.545455
a1,无限制生成,type_c,doubao-seed-2.0-pro,怀古咏史,2,0.040000,2,1.000000,18,18,9.000000,4.169925,0.055556,0.555556,野蔓:1|旧苔:1|寒蛩:1|颓垣:1|牵牛:1,乌鸦:25.00x|寒蛩:25.00x|寒风:25.00x|尘雾:25.00x|旧刻痕:25.00x,乌鸦,25.000000
a1,无限制生成,type_c,doubao-seed-2.0-pro,悼亡相思,5,0.100000,5,1.000000,49,47,9.800000,5.533077,0.022074,0.244898,桂香:2|苔痕:2|岸柳:1|野槿:1|早韭:1,桂香:10.00x|苔痕:10.00x|吟巾:10.00x|寒叶:10.00x|小桥:10.00x,桂香,10.000000
a1,无限制生成,type_c,doubao-seed-2.0-pro,春怨秋悲,6,0.120000,6,1.000000,63,60,10.500000,5.882042,0.017385,0.206349,岸柳:2|老桐:2|秋光:2|软风:1|轻烟:1,老桐:8.33x|丹枫:8.33x|园径:8.33x|寒烟:8.33x|寒螀:8.33x,老桐,8.333333
a1,无限制生成,type_c,doubao-seed-2.0-pro,离别羁旅,8,0.160000,8,1.000000,69,63,8.625000,5.934611,0.017013,0.231884,冷露:2|渔灯:2|雁影:2|寒波:2|潮水:2,冷露:6.25x|寒波:6.25x|渔灯:6.25x|潮水:6.25x|雁影:6.25x,冷露,6.250000
a1,无限制生成,type_c,doubao-seed-2.0-pro,闲适隐逸,14,0.280000,14,1.000000,140,126,10.000000,6.909605,0.008980,0.164286,石径:4|清露:3|茅店:2|清溪:2|岸柳:2,冰盏:3.57x|新藕:3.57x|残阳:3.57x|乳花:3.57x|余粮:3.57x,冰盏,3.571429
a1,无限制生成,type_c,gemini-3-flash,怀古咏史,2,0.100000,2,1.000000,28,27,14.000000,4.735926,0.038265,0.392857,电光:2|乱云:1|光网:1|机心:1|冷翠:1,乱云:10.00x|余霞:10.00x|光网:10.00x|冰机:10.00x|冷翠:10.00x,乱云,10.000000
a1,无限制生成,type_c,gemini-3-flash,悼亡相思,3,0.150000,3,1.000000,31,28,10.333333,4.760648,0.038502,0.419355,流光:2|代码:2|灵犀:2|虚廊:1|月影:1,代码:6.67x|信道:6.67x|冰丝:6.67x|凝露:6.67x|初梦:6.67x,代码,6.666667
a1,无限制生成,type_c,gemini-3-flash,离别羁旅,3,0.150000,3,1.000000,33,33,11.000000,5.044394,0.030303,0.303030,霓虹:1|深廊:1|酒香:1|人影:1|铁塔:1,人影:6.67x|光芒:6.67x|孤帆:6.67x|寒烟:6.67x|寒芒:6.67x,人影,6.666667
a1,无限制生成,type_c,gemini-3-flash,谈禅说理,7,0.350000,7,1.000000,66,60,9.428571,5.862576,0.017906,0.242424,流光:2|灵犀:2|露华:2|寒宵:2|星河:2,寒宵:2.86x|一粟:2.86x|一芥:2.86x|万卷:2.86x|云海:2.86x,寒宵,2.857143
a1,无限制生成,type_c,gemini-3-flash,豪情壮志,4,0.200000,4,1.000000,41,40,10.250000,5.308772,0.025580,0.268293,流光:2|银汉:1|流萤:1|天枢:1|虚空:1,九霄:5.00x|乾坤:5.00x|光影:5.00x|关山:5.00x|冷星:5.00x,九霄,5.000000
a1,无限制生成,type_c,gemini-3-flash,闲适隐逸,1,0.050000,1,1.000000,12,12,12.000000,3.584963,0.083333,0.833333,云层:1|玉府:1|蓬莱:1|银屏:1|霓裳:1,云层:20.00x|寒钟:20.00x|寒露:20.00x|玉府:20.00x|疏棂:20.00x,云层,20.000000
a1,无限制生成,type_c,gemini-3.1-pro,咏物寄托,1,0.100000,1,1.000000,6,6,6.000000,2.584963,0.166667,1.000000,巨舰:1|远城:1|星河:1|霓虹:1|飞梭:1,巨舰:10.00x|远城:10.00x|长庚:10.00x|霓虹:10.00x|飞梭:10.00x,巨舰,10.000000
a1,无限制生成,type_c,gemini-3.1-pro,春怨秋悲,1,0.100000,1,1.000000,11,11,11.000000,3.459432,0.090909,0.909091,秋叶:1|井栏:1|冷月:1|寒江:1|西风:1,井栏:10.00x|寒江:10.00x|更漏:10.00x|疏影:10.00x|秋叶:10.00x,井栏,10.000000
a1,无限制生成,type_c,gemini-3.1-pro,离别羁旅,4,0.400000,4,1.000000,41,40,10.250000,5.308772,0.025580,0.268293,银河:2|远谷:1|回风:1|长桥:1|薄雾:1,乡尘:2.50x|千山:2.50x|回风:2.50x|宇宙:2.50x|客渡:2.50x,乡尘,2.500000
a1,无限制生成,type_c,gemini-3.1-pro,谈禅说理,3,0.300000,3,1.000000,31,27,10.333333,4.696132,0.040583,0.451613,银河:2|琉璃镜:2|须弥:2|芥子:2|铁镜:1,琉璃镜:3.33x|芥子:3.33x|须弥:3.33x|云海:3.33x|北斗:3.33x,琉璃镜,3.333333
a1,无限制生成,type_c,gemini-3.1-pro,豪情壮志,1,0.100000,1,1.000000,6,6,6.000000,2.584963,0.166667,1.000000,银汉:1|孤影:1|尘寰:1|飞翼:1|星雾:1,孤影:10.00x|星雾:10.00x|金声:10.00x|银汉:10.00x|飞翼:10.00x,孤影,10.000000
a1,无限制生成,type_c,glm-4.7,咏物寄托,4,0.088889,4,1.000000,46,46,11.500000,5.523562,0.021739,0.217391,更漏:1|残灯:1|孤山:1|梅影:1|鬓华:1,云影:11.25x|前尘:11.25x|孤山:11.25x|山月:11.25x|幻彩:11.25x,云影,11.250000
a1,无限制生成,type_c,glm-4.7,怀古咏史,1,0.022222,1,1.000000,14,14,14.000000,3.807355,0.071429,0.714286,老树:1|黄昏:1|酒:1|秦砖:1|汉瓦:1,夜:45.00x|汉瓦:45.00x|白发:45.00x|秦砖:45.00x|窗前月:45.00x,夜,45.000000
a1,无限制生成,type_c,glm-4.7,悼亡相思,3,0.066667,3,1.000000,29,27,9.666667,4.720050,0.039239,0.413793,天涯:2|黄昏:2|雨:1|危楼:1|旧梦:1,天涯:15.00x|旧梦:15.00x|晚红:15.00x|柳色:15.00x|江南岸:15.00x,天涯,15.000000
a1,无限制生成,type_c,glm-4.7,春怨秋悲,2,0.044444,2,1.000000,19,19,9.500000,4.247928,0.052632,0.526316,暮云:1|孤城:1|霓虹:1|车流:1|苍天:1,夜雨:22.50x|孤城:22.50x|寒宵:22.50x|寒露:22.50x|屏:22.50x,夜雨,22.500000
a1,无限制生成,type_c,glm-4.7,离别羁旅,12,0.266667,12,1.000000,141,117,11.750000,6.758172,0.010311,0.191489,关山:4|烟波:3|明月:3|西风:3|晚风:3,烟波:3.75x|尘土:3.75x|灯火:3.75x|青山:3.75x|鬓霜:3.75x,烟波,3.750000
a1,无限制生成,type_c,glm-4.7,谈禅说理,2,0.044444,2,1.000000,16,16,8.000000,4.000000,0.062500,0.625000,清霄:1|银河:1|星盘:1|璇玑:1|云涛:1,天地:22.50x|斗柄:22.50x|星盘:22.50x|松涛:22.50x|梦:22.50x,天地,22.500000
a1,无限制生成,type_c,glm-4.7,豪情壮志,12,0.266667,12,1.000000,139,123,11.583333,6.858044,0.009472,0.179856,长空:4|星斗:3|长风:3|尘寰:3|危楼:2,尘寰:3.75x|星斗:3.75x|长风:3.75x|天阙:3.75x|惊雷:3.75x,尘寰,3.750000
a1,无限制生成,type_c,glm-4.7,闲适隐逸,9,0.200000,9,1.000000,103,96,11.444444,6.543249,0.011217,0.165049,空山:3|幽篁:2|松风:2|明月:2|苍松:2,空山:5.00x|幽篁:5.00x|松风:5.00x|苍松:5.00x|万壑:5.00x,空山,5.000000
a1,无限制生成,type_c,glm-5,咏物寄托,3,0.060000,3,1.000000,31,31,10.333333,4.954196,0.032258,0.322581,桐心:1|鹿胶:1|生漆:1|霜烟:1|虚堂:1,万重山:16.67x|信号:16.67x|冰蕊:16.67x|凌霄:16.67x|孤山:16.67x,万重山,16.666667
a1,无限制生成,type_c,glm-5,怀古咏史,4,0.080000,4,1.000000,35,33,8.750000,5.014997,0.031837,0.342857,西风:2|残编:2|落木:1|云影:1|暮烟:1,残编:12.50x|书卷:12.50x|倚杖:12.50x|剑气:12.50x|危阑:12.50x,残编,12.500000
a1,无限制生成,type_c,glm-5,悼亡相思,3,0.060000,3,1.000000,37,37,12.333333,5.209453,0.027027,0.270270,荒垣:1|古渡:1|暮鸦:1|苍烟:1|霜风:1,云鬟:16.67x|冻云:16.67x|北山泉:16.67x|双燕:16.67x|古渡:16.67x,云鬟,16.666667
a1,无限制生成,type_c,glm-5,春怨秋悲,8,0.160000,8,1.000000,77,74,9.625000,6.188864,0.013999,0.168831,暮云:2|孤灯:2|黄叶:2|西风:1|画堂:1,万山:6.25x|东风:6.25x|乱云:6.25x|乱峰:6.25x|回廊:6.25x,万山,6.250000
a1,无限制生成,type_c,glm-5,离别羁旅,14,0.280000,14,1.000000,141,128,10.071429,6.949800,0.008501,0.148936,孤舟:3|暮色:2|玉笛:2|灯火:2|烟波:2,漏声:3.57x|灯火:3.57x|玉笛:3.57x|远山:3.57x|青山:3.57x,漏声,3.571429
a1,无限制生成,type_c,glm-5,谈禅说理,2,0.040000,2,1.000000,18,18,9.000000,4.169925,0.055556,0.555556,风雨:1|雷霆:1|珠玉:1|寒星:1|浮云:1,云烟:25.00x|太清:25.00x|山灵:25.00x|异兽:25.00x|星辰:25.00x,云烟,25.000000
a1,无限制生成,type_c,glm-5,豪情壮志,6,0.120000,6,1.000000,63,59,10.500000,5.838313,0.018393,0.222222,铁马:3|金戈:2|寒江:2|海天:1|水云:1,金戈:8.33x|云雾:8.33x|冰轮:8.33x|刀环:8.33x|啼鴂:8.33x,金戈,8.333333
a1,无限制生成,type_c,glm-5,闲适隐逸,10,0.200000,10,1.000000,113,107,11.300000,6.707304,0.009946,0.141593,明月:3|清风:2|苍苔:2|孤舟:2|孤灯:2,万壑:5.00x|乌皮几:5.00x|乱石:5.00x|云根:5.00x|倦鸟:5.00x,万壑,5.000000
a1,无限制生成,type_c,gpt-5.4-high,闲适隐逸,2,1.000000,2,1.000000,19,19,9.500000,4.247928,0.052632,0.526316,薄雾:1|短篷:1|小滩:1|螺红:1|鸥影:1,小滩:1.00x|归人:1.00x|旧谱:1.00x|梧桐:1.00x|水烟:1.00x,小滩,1.000000
