group_a,group_a_label,prompt_type_a,group_b,group_b_label,prompt_type_b,distinct_imagery_count_a,distinct_imagery_count_b,shared_distinct_imagery_count,distinct_imagery_jaccard,top20_overlap_count,top20_overlap_jaccard,top20_overlap_ratio_a,top20_overlap_ratio_b,shared_top20_imageries,shared_distinct_top10,total_imagery_tokens_a,total_imagery_tokens_b
a1,无限制生成,type_c,b1,五词牌-无主题,type_b,2051,2595,948,0.256355,15,0.600000,0.750000,0.750000,孤灯|孤舟|斜阳|明月|星斗|星河|暮云|暮色|渔灯|烟水|烟波|芦花|西风|雁字|青山,明月|西风|孤舟|芦花|雁字|暮云|斜阳|星河|烟波|星斗,4594,8048
a1,无限制生成,type_c,b2,五词牌-改革主题,type_d,2051,1899,396,0.111424,2,0.052632,0.100000,0.100000,明月|星斗,明月|西风|星斗|剑气|春风|云|孤灯|寒霜|暮云|长风,4594,4743
a1,无限制生成,type_c,b3,五词牌-玉兰主题,type_d,2051,1405,372,0.120623,1,0.025641,0.050000,0.050000,孤灯,寒窗|孤灯|明月|西风|暗香|孤舟|斜阳|春风|东风|长街,4594,4681
a1,无限制生成,type_c,c1,沁园春-玉兰主题,type_a,2051,1648,431,0.131885,1,0.025641,0.050000,0.050000,孤灯,寒窗|明月|孤灯|西风|孤舟|春风|长风|寒霜|斜阳|雪,4594,5635
a1,无限制生成,type_c,c2,沁园春-改革主题,type_e,2051,1070,248,0.086321,0,0.000000,0.000000,0.000000,,西风|明月|星河|孤灯|星斗|云|寒霜|春风|冷月|长风,4594,2504
b1,五词牌-无主题,type_b,b2,五词牌-改革主题,type_d,2595,1899,432,0.106352,2,0.052632,0.100000,0.100000,明月|星斗,明月|暮云|西风|星斗|斜阳|阑干|剑气|劫火|长风|孤灯,8048,4743
b1,五词牌-无主题,type_b,b3,五词牌-玉兰主题,type_d,2595,1405,451,0.127078,1,0.025641,0.050000,0.050000,孤灯,明月|寒窗|孤舟|斜阳|西风|孤灯|雁字|暮云|阑干|暗香,8048,4681
b1,五词牌-无主题,type_b,c1,沁园春-玉兰主题,type_a,2595,1648,507,0.135707,1,0.025641,0.050000,0.050000,孤灯,明月|寒窗|孤舟|西风|孤灯|雁字|斜阳|暮云|阑干|长风,8048,5635
b1,五词牌-无主题,type_b,c2,沁园春-改革主题,type_e,2595,1070,253,0.074150,0,0.000000,0.000000,0.000000,,明月|西风|星斗|阑干|冷月|孤灯|青山|星河|晨钟|远岫,8048,2504
b2,五词牌-改革主题,type_d,b3,五词牌-玉兰主题,type_d,1899,1405,340,0.114710,1,0.025641,0.050000,0.050000,春风,寒窗|春风|青衿|孤灯|明月|风雨|长风|玉树|青衫|剑气,4743,4681
b2,五词牌-改革主题,type_d,c1,沁园春-玉兰主题,type_a,1899,1648,388,0.122824,2,0.052632,0.100000,0.100000,春风|长风,琼枝|寒窗|春风|长风|玉树|青衿|明月|孤灯|风埃|寒霜,4743,5635
b2,五词牌-改革主题,type_d,c2,沁园春-改革主题,type_e,1899,1070,534,0.219302,14,0.538462,0.700000,0.700000,云|剑影|剑气|剑阁|劫火|宗门|春风|晨钟|暮鼓|樊笼|灵根|铁律|长风|青衿,樊笼|灵根|青衿|劫火|春风|剑气|铁律|晨钟|丹炉|暮鼓,4743,2504
b3,五词牌-玉兰主题,type_d,c1,沁园春-玉兰主题,type_a,1405,1648,658,0.274739,16,0.666667,0.800000,0.800000,书山|孤灯|寒窗|春寒|春风|清香|玉兰|玉树|琼枝|琼英|白雪|素影|素萼|长街|青衫|风霜,玉兰|寒窗|琼枝|玉树|素萼|琼英|春风|清芬|孤灯|春寒,4681,5635
b3,五词牌-玉兰主题,type_d,c2,沁园春-改革主题,type_e,1405,1070,190,0.083151,1,0.025641,0.050000,0.050000,春风,寒窗|春风|青衿|孤灯|东风|青衫|长风|明月|星霜|清风,4681,2504
c1,沁园春-玉兰主题,type_a,c2,沁园春-改革主题,type_e,1648,1070,249,0.100851,2,0.052632,0.100000,0.100000,春风|长风,寒窗|春风|青衿|长风|孤灯|雪|寒霜|明月|青衫|云,5635,2504
