db,db_label,prompt_type,model,total_poems,imagery_covered_poems,imagery_coverage,total_imagery_tokens,distinct_imagery_count,avg_imagery_per_poem,imagery_entropy,imagery_hhi,top10_imagery_ratio,top10_imageries
a1,无限制生成,type_c,deepseek-3.2-thinking,50,50,1.000000,439,283,8.780000,7.719820,0.007892,0.198178,数据:17|代码:16|算法:12|星河:8|键盘:8|网络:7|星空:5|青山:5|荧屏:5|光影:4
a1,无限制生成,type_c,doubao-seed-2.0-pro,50,50,1.000000,488,402,9.760000,8.494856,0.003385,0.098361,清露:8|岸柳:7|石径:6|晚风:6|野菊:4|闲云:4|寒霜:4|清溪:3|残荷:3|软风:3
a1,无限制生成,type_c,gemini-3-flash,20,20,1.000000,211,180,10.550000,7.373781,0.006941,0.146919,流光:6|灵犀:4|露华:3|算法:3|电光:3|星河:3|疏星:3|星辰:2|虚空:2|寒宵:2
a1,无限制生成,type_c,gemini-3.1-pro,10,10,1.000000,95,82,9.500000,6.267173,0.014294,0.242105,银河:4|星河:3|尘寰:2|繁星:2|流星:2|冷月:2|琉璃镜:2|须弥:2|芥子:2|浮云:2
a1,无限制生成,type_c,glm-4.7,45,45,1.000000,507,390,11.266667,8.409770,0.003630,0.102564,明月:7|危楼:6|暮云:6|关山:6|晚风:5|西风:5|长空:5|酒:4|苍苔:4|黄昏:4
a1,无限制生成,type_c,glm-5,50,50,1.000000,515,399,10.300000,8.469153,0.003374,0.093204,西风:6|明月:6|孤舟:6|斜阳:6|孤灯:5|暮云:4|阑干:4|铁马:4|风雨:4|寒江:3
a1,无限制生成,type_c,gpt-5.4-high,2,2,1.000000,19,19,9.500000,4.247928,0.052632,0.526316,薄雾:1|短篷:1|小滩:1|螺红:1|鸥影:1|烟空:1|铁笛:1|秋风:1|渔唱:1|霜钟:1
a1,无限制生成,type_c,kimi-k2.5,28,28,1.000000,359,272,12.821429,7.897552,0.005129,0.128134,流光:8|荧屏:6|银河:5|银汉:4|星槎:4|霓裳:4|代码:4|数据流:4|星河:4|琉璃:3
a1,无限制生成,type_c,qwen3-max,48,48,1.000000,638,242,13.291667,7.046804,0.014770,0.308777,芦花:37|西风:30|孤舟:26|烟水:21|渔灯:17|明月:16|渔笛:15|烟波:13|星影:12|寒江:10
a1,无限制生成,type_c,qwen3.5-flash,50,50,1.000000,664,459,13.280000,8.568175,0.003506,0.103916,雁字:11|孤舟:9|暮雨:9|落叶:7|明月:6|烟波:6|西风:6|寒蛩:5|冷月:5|孤灯:5
