category,imagery,count,proportion,poem_coverage_count,poem_coverage_ratio,rank,category_poem_count,total_imagery_tokens,db_distribution
咏物寄托,玉兰,338,0.028837,338,0.249446,1,1355,11721,a1:36|b1:17|b2:249|b3:544|c1:483|c2:26
咏物寄托,寒窗,167,0.014248,167,0.123247,2,1355,11721,a1:36|b1:17|b2:249|b3:544|c1:483|c2:26
咏物寄托,琼枝,149,0.012712,149,0.109963,3,1355,11721,a1:36|b1:17|b2:249|b3:544|c1:483|c2:26
咏物寄托,素萼,122,0.010409,122,0.090037,4,1355,11721,a1:36|b1:17|b2:249|b3:544|c1:483|c2:26
咏物寄托,玉树,117,0.009982,117,0.086347,5,1355,11721,a1:36|b1:17|b2:249|b3:544|c1:483|c2:26
咏物寄托,琼英,110,0.009385,110,0.081181,6,1355,11721,a1:36|b1:17|b2:249|b3:544|c1:483|c2:26
咏物寄托,春风,106,0.009044,106,0.078229,7,1355,11721,a1:36|b1:17|b2:249|b3:544|c1:483|c2:26
咏物寄托,孤灯,92,0.007849,92,0.067897,8,1355,11721,a1:36|b1:17|b2:249|b3:544|c1:483|c2:26
咏物寄托,春寒,86,0.007337,86,0.063469,9,1355,11721,a1:36|b1:17|b2:249|b3:544|c1:483|c2:26
咏物寄托,书山,82,0.006996,82,0.060517,10,1355,11721,a1:36|b1:17|b2:249|b3:544|c1:483|c2:26
咏物寄托,清芬,82,0.006996,82,0.060517,11,1355,11721,a1:36|b1:17|b2:249|b3:544|c1:483|c2:26
咏物寄托,白雪,76,0.006484,76,0.056089,12,1355,11721,a1:36|b1:17|b2:249|b3:544|c1:483|c2:26
咏物寄托,青衫,75,0.006399,75,0.055351,13,1355,11721,a1:36|b1:17|b2:249|b3:544|c1:483|c2:26
咏物寄托,清香,73,0.006228,73,0.053875,14,1355,11721,a1:36|b1:17|b2:249|b3:544|c1:483|c2:26
咏物寄托,长街,72,0.006143,72,0.053137,15,1355,11721,a1:36|b1:17|b2:249|b3:544|c1:483|c2:26
咏物寄托,风雨,70,0.005972,70,0.051661,16,1355,11721,a1:36|b1:17|b2:249|b3:544|c1:483|c2:26
