db,db_label,prompt_type,imagery,count,proportion,poem_coverage_count,poem_coverage_ratio,rank,total_poems,imagery_covered_poems,total_imagery_tokens
a1,无限制生成,type_c,西风,67,0.014584,67,0.166667,1,402,402,4594
a1,无限制生成,type_c,孤舟,55,0.011972,55,0.136816,2,402,402,4594
a1,无限制生成,type_c,芦花,52,0.011319,52,0.129353,3,402,402,4594
a1,无限制生成,type_c,明月,47,0.010231,47,0.116915,4,402,402,4594
a1,无限制生成,type_c,星河,34,0.007401,34,0.084577,5,402,402,4594
a1,无限制生成,type_c,烟波,33,0.007183,33,0.082090,6,402,402,4594
a1,无限制生成,type_c,雁字,32,0.006966,32,0.079602,7,402,402,4594
a1,无限制生成,type_c,斜阳,29,0.006313,29,0.072139,8,402,402,4594
a1,无限制生成,type_c,孤灯,28,0.006095,28,0.069652,9,402,402,4594
a1,无限制生成,type_c,暮云,25,0.005442,25,0.062189,10,402,402,4594
a1,无限制生成,type_c,流光,25,0.005442,25,0.062189,11,402,402,4594
a1,无限制生成,type_c,星斗,24,0.005224,24,0.059701,12,402,402,4594
a1,无限制生成,type_c,烟水,23,0.005007,23,0.057214,13,402,402,4594
a1,无限制生成,type_c,数据,23,0.005007,23,0.057214,14,402,402,4594
a1,无限制生成,type_c,渔灯,22,0.004789,22,0.054726,15,402,402,4594
a1,无限制生成,type_c,代码,22,0.004789,22,0.054726,16,402,402,4594
a1,无限制生成,type_c,寒江,21,0.004571,21,0.052239,17,402,402,4594
a1,无限制生成,type_c,青山,21,0.004571,21,0.052239,18,402,402,4594
a1,无限制生成,type_c,暮色,20,0.004354,20,0.049751,19,402,402,4594
a1,无限制生成,type_c,银河,19,0.004136,19,0.047264,20,402,402,4594
b1,五词牌-无主题,type_b,明月,108,0.013419,108,0.157434,1,686,686,8048
b1,五词牌-无主题,type_b,孤舟,87,0.010810,87,0.126822,2,686,686,8048
b1,五词牌-无主题,type_b,西风,82,0.010189,82,0.119534,3,686,686,8048
b1,五词牌-无主题,type_b,暮云,73,0.009071,73,0.106414,4,686,686,8048
b1,五词牌-无主题,type_b,雁字,71,0.008822,71,0.103499,5,686,686,8048
b1,五词牌-无主题,type_b,斜阳,61,0.007580,61,0.088921,6,686,686,8048
b1,五词牌-无主题,type_b,芦花,59,0.007331,59,0.086006,7,686,686,8048
b1,五词牌-无主题,type_b,荻花,52,0.006461,52,0.075802,8,686,686,8048
b1,五词牌-无主题,type_b,阑干,44,0.005467,44,0.064140,9,686,686,8048
