db,db_label,prompt_type,model,imagery,count,proportion,poem_coverage_count,poem_coverage_ratio,rank,total_poems,imagery_covered_poems,total_imagery_tokens
a1,无限制生成,type_c,deepseek-3.2-thinking,数据,17,0.038724,17,0.340000,1,50,50,439
a1,无限制生成,type_c,deepseek-3.2-thinking,代码,16,0.036446,16,0.320000,2,50,50,439
a1,无限制生成,type_c,deepseek-3.2-thinking,算法,12,0.027335,12,0.240000,3,50,50,439
a1,无限制生成,type_c,deepseek-3.2-thinking,星河,8,0.018223,8,0.160000,4,50,50,439
a1,无限制生成,type_c,deepseek-3.2-thinking,键盘,8,0.018223,8,0.160000,5,50,50,439
a1,无限制生成,type_c,deepseek-3.2-thinking,网络,7,0.015945,7,0.140000,6,50,50,439
a1,无限制生成,type_c,deepseek-3.2-thinking,星空,5,0.011390,5,0.100000,7,50,50,439
a1,无限制生成,type_c,deepseek-3.2-thinking,青山,5,0.011390,5,0.100000,8,50,50,439
a1,无限制生成,type_c,deepseek-3.2-thinking,荧屏,5,0.011390,5,0.100000,9,50,50,439
a1,无限制生成,type_c,deepseek-3.2-thinking,光影,4,0.009112,4,0.080000,10,50,50,439
a1,无限制生成,type_c,deepseek-3.2-thinking,云端,4,0.009112,4,0.080000,11,50,50,439
a1,无限制生成,type_c,deepseek-3.2-thinking,智能,4,0.009112,4,0.080000,12,50,50,439
a1,无限制生成,type_c,deepseek-3.2-thinking,信息,4,0.009112,4,0.080000,13,50,50,439
a1,无限制生成,type_c,deepseek-3.2-thinking,细雨,3,0.006834,3,0.060000,14,50,50,439
a1,无限制生成,type_c,deepseek-3.2-thinking,落月,3,0.006834,3,0.060000,15,50,50,439
a1,无限制生成,type_c,deepseek-3.2-thinking,孤灯,3,0.006834,3,0.060000,16,50,50,439
a1,无限制生成,type_c,deepseek-3.2-thinking,夕阳,3,0.006834,3,0.060000,17,50,50,439
a1,无限制生成,type_c,deepseek-3.2-thinking,银河,3,0.006834,3,0.060000,18,50,50,439
a1,无限制生成,type_c,deepseek-3.2-thinking,云影,3,0.006834,3,0.060000,19,50,50,439
a1,无限制生成,type_c,deepseek-3.2-thinking,清风,3,0.006834,3,0.060000,20,50,50,439
a1,无限制生成,type_c,doubao-seed-2.0-pro,清露,8,0.016393,8,0.160000,1,50,50,488
a1,无限制生成,type_c,doubao-seed-2.0-pro,岸柳,7,0.014344,7,0.140000,2,50,50,488
