db,db_label,model,cipai,poem_count_total,poem_count_used,resample_rounds,weight,whole_lex_p50,top1_sent_mean,sentence_count,whole_sem_p50,whole_score,imagery_entropy,topk_sent_mean,imagery_jaccard_p50,sent_highsim_ratio,distinct_category_count,sentence_pair_count,sent_pseudo_ratio,top10_imagery_concentration,whole_pair_count,core_mihi,whole_highsim_ratio,category_entropy,whole_pseudo_ratio,whole_sem_p90,mihi_full,imagery_jaccard_p90,sent_score,whole_lex_p90,distinct_imagery_count,imagery_score,human_whole_score,human_sent_score,human_core_mihi,excess_core_homogeneity
a1,无限制生成,doubao-seed-2.0-pro,卜算子,18,18,5,18,0.134615,0.617191,144.000000,0.655875,0.549257,0.992129,0.566768,0.000000,0.000204,6.000000,9792.000000,0.555249,0.147651,153.000000,0.460408,0.000000,0.962704,1.000000,0.737734,0.377110,0.000000,0.351814,0.211538,135.000000,0.034047,0.510935,0.297416,0.414851,0.045556
a1,无限制生成,doubao-seed-2.0-pro,鹧鸪天,25,20,5,20,0.117188,0.651363,180.000000,0.707929,0.594337,0.990138,0.602002,0.000000,0.000234,5.800000,15390.000000,0.581689,0.121176,190.000000,0.493389,0.010526,0.827223,1.000000,0.794222,0.407678,0.044478,0.370009,0.190937,196.600000,0.053619,0.525475,0.291823,0.420332,0.073058
a1,无限制生成,glm-5,鹧鸪天,9,9,5,9,0.125000,0.580741,81.000000,0.614593,0.526100,0.996466,0.531312,0.000000,0.000000,5.000000,2916.000000,0.452675,0.152174,36.000000,0.428866,0.000000,0.946265,1.000000,0.729343,0.353676,0.023810,0.310025,0.156250,88.000000,0.042114,0.513214,0.293461,0.414325,0.014540
a1,无限制生成,qwen3-max,青玉案,39,20,5,20,0.269099,0.884200,240.000000,0.860132,0.817610,0.922829,0.810517,0.088680,0.009452,2.000000,27360.000000,0.636974,0.326352,190.000000,0.656745,0.563158,0.511231,0.993684,0.916374,0.572110,0.251169,0.460133,0.445796,137.800000,0.215695,0.562524,0.301870,0.445230,0.211515
a1,无限制生成,qwen3.5-flash,鹧鸪天,11,11,5,11,0.125000,0.675046,99.000000,0.731263,0.627115,0.989591,0.626439,0.000000,0.000673,3.000000,4455.000000,0.558923,0.164286,55.000000,0.511620,0.054545,0.691370,1.000000,0.835249,0.427153,0.046753,0.370460,0.196875,123.000000,0.076449,0.528001,0.294124,0.422756,0.088864
a1,无限制生成,qwen3.6-plus,鹧鸪天,13,13,5,13,0.156250,0.709569,117.000000,0.740960,0.628787,0.971530,0.648024,0.037749,0.001266,3.000000,6318.000000,0.535613,0.218935,78.000000,0.514161,0.051282,0.487853,1.000000,0.826838,0.440850,0.095238,0.374061,0.239062,126.000000,0.134870,0.529895,0.300823,0.426813,0.087348
b1,五词牌-无主题,deepseek-3.2-thinking,沁园春,13,13,5,13,0.147211,0.824624,327.000000,0.779233,0.669023,0.988152,0.747597,0.000000,0.000932,4.000000,49351.000000,0.428907,0.134831,78.000000,0.537357,0.115385,0.913123,1.000000,0.854432,0.442560,0.047619,0.376432,0.222222,151.000000,0.048744,0.639398,0.331088,0.500658,0.036699
b1,五词牌-无主题,deepseek-3.2-thinking,浪淘沙,32,15,5,15,0.153125,0.705348,150.000000,0.726619,0.607887,0.977924,0.635460,0.000000,0.001333,4.800000,10500.000000,0.439524,0.216379,105.000000,0.489136,0.013333,0.752734,1.000000,0.806369,0.411718,0.074563,0.343995,0.247500,106.800000,0.088851,0.531493,0.314105,0.433668,0.055467
b1,五词牌-无主题,deepseek-3.2-thinking,清平乐,33,10,5,10,0.140741,0.631468,80.000000,0.646693,0.549443,0.990623,0.576598,0.000000,0.000417,5.400000,2880.000000,0.450486,0.211457,45.000000,0.448332,0.004444,0.927305,0.982222,0.750693,0.373880,0.057346,0.324753,0.204444,76.600000,0.064835,0.525709,0.335130,0.439948,0.008384
b1,五词牌-无主题,deepseek-3.2-thinking,祝英台近,15,8,5,8,0.143449,0.809030,129.600000,0.799756,0.685036,0.991534,0.726467,0.000000,0.002453,3.800000,7347.200000,0.549554,0.197501,28.000000,0.560620,0.150000,0.889628,1.000000,0.850529,0.463482,0.038886,0.408556,0.249234,77.800000,0.061106,0.613158,0.371615,0.504464,0.056157
b1,五词牌-无主题,deepseek-3.2-thinking,菩萨蛮,16,16,5,16,0.153846,0.680850,128.000000,0.668444,0.571916,0.973779,0.610246,0.000000,0.001432,6.000000,7680.000000,0.505859,0.214286,120.000000,0.475018,0.016667,0.830489,0.950000,0.781204,0.398532,0.077564,0.356586,0.230769,110.000000,0.081821,0.503544,0.289659,0.407296,0.067722
b1,五词牌-无主题,doubao-seed-2.0-pro,沁园春,28,13,5,13,0.145881,0.885232,325.000000,0.812537,0.763462,0.981771,0.800003,0.005334,0.001653,2.600000,48750.000000,0.544685,0.143094,78.000000,0.613241,0.420513,0.720382,1.000000,0.910304,0.509302,0.066340,0.429636,0.218993,194.800000,0.076855,0.639398,0.331088,0.500658,0.112582
b1,五词牌-无主题,doubao-seed-2.0-pro,浪淘沙,35,15,5,15,0.178125,0.754605,150.000000,0.743301,0.619705,0.967771,0.678158,0.008696,0.002343,2.400000,10500.000000,0.528933,0.253466,105.000000,0.514537,0.015238,0.475827,1.000000,0.816689,0.441211,0.107387,0.385999,0.266250,110.200000,0.136223,0.531493,0.314105,0.433668,0.080869
b1,五词牌-无主题,doubao-seed-2.0-pro,清平乐,43,10,5,10,0.144444,0.668424,80.000000,0.712667,0.603301,0.992873,0.612345,0.000000,0.000556,2.800000,2880.000000,0.642014,0.183470,45.000000,0.508825,0.017778,0.835408,1.000000,0.811373,0.421999,0.041331,0.393354,0.207407,90.600000,0.064199,0.525709,0.335130,0.439948,0.068876
b1,五词牌-无主题,doubao-seed-2.0-pro,祝英台近,36,8,5,8,0.136842,0.757730,128.000000,0.770156,0.663177,0.994108,0.689443,0.000000,0.000781,3.000000,7168.000000,0.580273,0.168723,28.000000,0.545519,0.121429,0.881697,1.000000,0.846045,0.450245,0.039646,0.401714,0.207158,92.600000,0.056076,0.613158,0.371615,0.504464,0.041055
