db,db_label,model,total_poems,used_poems,used_cipai_count,used_cipais,cipai_entropy,status,cipai,whole_lex_p50,top1_sent_mean,sentence_count,human_whole_score,whole_sem_p50,whole_score,imagery_entropy,topk_sent_mean,human_sent_score,imagery_jaccard_p50,sent_highsim_ratio,distinct_category_count,poem_count_used,sentence_pair_count,sent_pseudo_ratio,top10_imagery_concentration,whole_pair_count,core_mihi,resample_rounds,whole_highsim_ratio,category_entropy,whole_pseudo_ratio,human_core_mihi,poem_count_total,whole_sem_p90,excess_core_homogeneity,mihi_full,distinct_imagery_count,imagery_jaccard_p90,sent_score,whole_lex_p90,imagery_score
a1,无限制生成,qwen3-max,45,20,1,青玉案,0.566510,main,青玉案,0.269099,0.884200,240.000000,0.562524,0.860132,0.817610,0.922829,0.810517,0.301870,0.088680,0.009452,2.000000,20,27360.000000,0.636974,0.326352,190.000000,0.656745,5,0.563158,0.511231,0.993684,0.445230,39,0.916374,0.211515,0.572110,137.800000,0.251169,0.460133,0.445796,0.215695
a1,无限制生成,qwen3.6-plus,27,13,1,鹧鸪天,0.773980,low_sample,鹧鸪天,0.156250,0.709569,117.000000,0.529895,0.740960,0.628787,0.971530,0.648024,0.300823,0.037749,0.001266,3.000000,13,6318.000000,0.535613,0.218935,78.000000,0.514161,5,0.051282,0.487853,1.000000,0.426813,13,0.826838,0.087348,0.440850,126.000000,0.095238,0.374061,0.239062,0.134870
a1,无限制生成,qwen3.5-flash,22,11,1,鹧鸪天,0.764269,low_sample,鹧鸪天,0.125000,0.675046,99.000000,0.528001,0.731263,0.627115,0.989591,0.626439,0.294124,0.000000,0.000673,3.000000,11,4455.000000,0.558923,0.164286,55.000000,0.511620,5,0.054545,0.691370,1.000000,0.422756,11,0.835249,0.088864,0.427153,123.000000,0.046753,0.370460,0.196875,0.076449
a1,无限制生成,doubao-seed-2.0-pro,47,38,2,卜算子|鹧鸪天,0.831090,main,卜算子,0.125443,0.635176,162.947368,0.510935,0.683272,0.572983,0.991081,0.585312,0.297416,0.000000,0.000220,5.894737,18,12738.315789,0.569165,0.133717,172.473684,0.477766,5,0.005540,0.891398,1.000000,0.417736,18,0.767464,0.060031,0.393199,167.421053,0.023409,0.361390,0.200696,0.044348
a1,无限制生成,glm-5,29,9,1,鹧鸪天,0.877090,low_sample,鹧鸪天,0.125000,0.580741,81.000000,0.513214,0.614593,0.526100,0.996466,0.531312,0.293461,0.000000,0.000000,5.000000,9,2916.000000,0.452675,0.152174,36.000000,0.428866,5,0.000000,0.946265,1.000000,0.414325,9,0.729343,0.014540,0.353676,88.000000,0.023810,0.310025,0.156250,0.042114
b1,五词牌-无主题,qwen3.6-plus,107,62,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.970548,main,沁园春,0.164645,0.772857,167.248387,0.639398,0.783995,0.684464,0.975363,0.701740,0.331088,0.022978,0.001923,3.454839,13,16174.122581,0.584134,0.200748,83.596774,0.559995,5,0.184793,0.603852,0.997235,0.451057,24,0.851694,0.108939,0.473219,138.722581,0.088046,0.407867,0.244326,0.112282
b1,五词牌-无主题,doubao-seed-2.0-pro,176,62,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.994248,main,沁园春,0.153347,0.746895,166.887097,0.639398,0.739102,0.641317,0.983443,0.678046,0.331088,0.003222,0.001245,2.945161,13,16133.451613,0.560984,0.183318,83.596774,0.529512,5,0.114695,0.705550,0.995269,0.451057,28,0.829424,0.078456,0.443180,128.235484,0.066145,0.392862,0.225206,0.085428
b1,五词牌-无主题,deepseek-3.2-thinking,109,62,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.950483,main,沁园春,0.148825,0.725497,167.512903,0.639398,0.719184,0.611951,0.982803,0.654715,0.331088,0.000000,0.001271,4.909677,13,16282.590323,0.470382,0.195510,83.596774,0.498246,5,0.051792,0.852250,0.984229,0.451057,13,0.806670,0.047189,0.415358,108.280645,0.062308,0.359272,0.231162,0.071174
b1,五词牌-无主题,glm-5,39,33,3,浪淘沙|清平乐|祝英台近,0.869066,main,浪淘沙,0.141988,0.726651,123.454545,0.531493,0.712469,0.597465,0.981053,0.651307,0.314105,0.000000,0.001429,3.545455,15,7383.151515,0.480380,0.234368,68.151515,0.491812,5,0.008658,0.877450,0.993266,0.452734,15,0.798330,0.039078,0.411819,90.696970,0.076334,0.362681,0.207859,0.080107
b2,五词牌-改革主题,qwen3.6-plus,81,64,4,沁园春|浪淘沙|清平乐|菩萨蛮,0.909782,main,沁园春,0.175200,0.738329,208.500000,0.628542,0.831859,0.761935,0.975126,0.667668,0.326659,0.019725,0.001185,2.887500,16,26529.750000,0.565687,0.195597,131.750000,0.595320,5,0.410865,0.890830,1.000000,0.442883,16,0.879441,0.152437,0.495702,145.012500,0.077171,0.391679,0.249094,0.078720
