db,db_label,model,cipai,poem_count_total,poem_count_used,resample_rounds,weight,imagery_jaccard_p50,category_entropy,whole_score,distinct_imagery_count,whole_lex_p50,raw_sentence_comparison_count,sent_highsim_ratio,imagery_entropy,sentence_count,imagery_jaccard_p90,mihi_full,whole_sem_p90,whole_pair_count,whole_sem_p50,sent_score,distinct_category_count,imagery_score,top1_sent_mean,sentence_pair_count,whole_highsim_ratio,top10_imagery_concentration,topk_sent_mean,whole_pseudo_ratio,sent_pseudo_ratio,whole_lex_p90,core_mihi,human_whole_score,human_sent_score,human_core_mihi,excess_core_homogeneity
a1,无限制生成,doubao-seed-2.0-pro,卜算子,18,18,5,18,0.000000,0.962704,0.549257,135.000000,0.134615,9792.000000,0.004357,0.992129,144.000000,0.052632,0.415355,0.737734,153.000000,0.655875,0.453567,6.000000,0.047205,0.617191,153.000000,0.000000,0.147651,0.566768,1.000000,0.888889,0.211538,0.506197,0.510935,0.423977,0.471804,0.034393
a1,无限制生成,doubao-seed-2.0-pro,鹧鸪天,25,20,5,20,0.000000,0.827223,0.594337,196.600000,0.117188,15390.000000,0.006316,0.990138,180.000000,0.049991,0.444439,0.794222,190.000000,0.707929,0.474251,5.800000,0.054997,0.651363,190.000000,0.010526,0.121176,0.602002,1.000000,0.921053,0.190937,0.540298,0.525475,0.439865,0.486950,0.053348
a1,无限制生成,glm-5,鹧鸪天,9,9,5,9,0.000000,0.946265,0.526100,88.000000,0.125000,2916.000000,0.000000,0.996466,81.000000,0.023810,0.390729,0.729343,36.000000,0.614593,0.415889,5.000000,0.042114,0.580741,36.000000,0.000000,0.152174,0.531312,1.000000,0.805556,0.156250,0.476505,0.513214,0.446898,0.483372,-0.006867
a1,无限制生成,qwen3-max,青玉案,39,20,5,20,0.123293,0.511231,0.817610,137.800000,0.269099,27360.000000,0.407018,0.922829,240.000000,0.304853,0.603720,0.916374,190.000000,0.860132,0.535856,2.000000,0.241230,0.884200,190.000000,0.563158,0.326352,0.810517,0.993684,0.359298,0.445796,0.690821,0.562524,0.443974,0.509176,0.181644
a1,无限制生成,qwen3.5-flash,鹧鸪天,11,11,5,11,0.000000,0.691370,0.627115,123.000000,0.125000,4455.000000,0.018182,0.989591,99.000000,0.068966,0.467482,0.835249,55.000000,0.731263,0.482514,3.000000,0.082002,0.675046,55.000000,0.054545,0.164286,0.626439,1.000000,0.909091,0.196875,0.562045,0.528001,0.445810,0.491015,0.071030
a1,无限制生成,qwen3.6-plus,鹧鸪天,13,13,5,13,0.037749,0.487853,0.628787,126.000000,0.156250,6318.000000,0.034188,0.971530,117.000000,0.095238,0.476271,0.826838,78.000000,0.740960,0.475264,3.000000,0.134870,0.709569,78.000000,0.051282,0.218935,0.648024,1.000000,0.829060,0.239062,0.559702,0.529895,0.447601,0.492862,0.066839
b1,五词牌-无主题,deepseek-3.2-thinking,沁园春,13,13,5,13,0.000000,0.913123,0.669023,151.000000,0.147211,49351.000000,0.183761,0.988152,327.000000,0.047619,0.485493,0.854432,78.000000,0.779233,0.499097,4.000000,0.048744,0.824624,78.000000,0.115385,0.134831,0.747597,1.000000,0.594017,0.222222,0.592556,0.639398,0.458045,0.557789,0.034767
b1,五词牌-无主题,deepseek-3.2-thinking,浪淘沙,32,15,5,15,0.000000,0.752734,0.607887,106.800000,0.153125,10500.000000,0.043810,0.977924,150.000000,0.088647,0.446418,0.806369,105.000000,0.726619,0.441128,4.800000,0.092372,0.705348,105.000000,0.013333,0.216379,0.635460,1.000000,0.706667,0.247500,0.532846,0.531493,0.445292,0.492702,0.040143
b1,五词牌-无主题,deepseek-3.2-thinking,清平乐,33,10,5,10,0.000000,0.927305,0.549443,76.600000,0.140741,2880.000000,0.008889,0.990623,80.000000,0.060325,0.416736,0.750693,45.000000,0.646693,0.446774,5.400000,0.065580,0.631468,45.000000,0.004444,0.211457,0.576598,0.982222,0.845926,0.204444,0.503242,0.525709,0.452720,0.492864,0.010378
b1,五词牌-无主题,deepseek-3.2-thinking,祝英台近,15,8,5,8,0.000000,0.889628,0.685036,77.800000,0.143449,7347.200000,0.207143,0.991534,129.600000,0.044973,0.510740,0.850529,28.000000,0.799756,0.542709,3.800000,0.062627,0.809030,28.000000,0.150000,0.197501,0.726467,1.000000,0.723810,0.249234,0.620989,0.613158,0.468835,0.548213,0.072777
b1,五词牌-无主题,deepseek-3.2-thinking,菩萨蛮,16,16,5,16,0.000000,0.830489,0.571916,110.000000,0.153846,7680.000000,0.030556,0.973779,128.000000,0.077564,0.430869,0.781204,120.000000,0.668444,0.448977,6.000000,0.081821,0.680850,120.000000,0.016667,0.214286,0.610246,0.950000,0.775000,0.230769,0.516594,0.503544,0.417356,0.464760,0.051834
b1,五词牌-无主题,doubao-seed-2.0-pro,沁园春,28,13,5,13,0.015629,0.720382,0.763462,194.800000,0.145881,48750.000000,0.325641,0.981771,325.000000,0.084619,0.564705,0.910304,78.000000,0.812537,0.583262,2.600000,0.085028,0.885232,78.000000,0.420513,0.143094,0.800003,1.000000,0.624786,0.218993,0.682372,0.639398,0.458045,0.557789,0.124583
b1,五词牌-无主题,doubao-seed-2.0-pro,浪淘沙,35,15,5,15,0.009091,0.475827,0.619705,110.200000,0.178125,10500.000000,0.076825,0.967771,150.000000,0.117803,0.475049,0.816689,105.000000,0.743301,0.481112,2.400000,0.138966,0.754605,105.000000,0.015238,0.253466,0.678158,1.000000,0.746667,0.266250,0.557338,0.531493,0.445292,0.492702,0.064636
b1,五词牌-无主题,doubao-seed-2.0-pro,清平乐,43,10,5,10,0.000000,0.835408,0.603301,90.600000,0.144444,2880.000000,0.011852,0.992873,80.000000,0.042127,0.448298,0.811373,45.000000,0.712667,0.468379,2.800000,0.064398,0.668424,45.000000,0.017778,0.183470,0.612345,1.000000,0.877037,0.207407,0.542586,0.525709,0.452720,0.492864,0.049722
b1,五词牌-无主题,doubao-seed-2.0-pro,祝英台近,36,8,5,8,0.000000,0.881697,0.663177,92.600000,0.136842,7168.000000,0.066667,0.994108,128.000000,0.039895,0.482552,0.846045,28.000000,0.770156,0.493986,3.000000,0.056138,0.757730,28.000000,0.121429,0.168723,0.689443,1.000000,0.800000,0.207158,0.587041,0.613158,0.468835,0.548213,0.038828
b1,五词牌-无主题,doubao-seed-2.0-pro,菩萨蛮,34,16,5,16,0.000000,0.739627,0.575167,132.400000,0.150000,7680.000000,0.011667,0.988268,128.000000,0.056082,0.439188,0.778622,120.000000,0.676495,0.473769,3.800000,0.072719,0.670895,120.000000,0.016667,0.157439,0.614214,0.981667,0.892778,0.211923,0.529538,0.503544,0.417356,0.464760,0.064778
b1,五词牌-无主题,glm-5,浪淘沙,15,15,5,15,0.000000,0.901897,0.610859,111.000000,0.140625,10500.000000,0.057143,0.971545,150.000000,0.098095,0.451256,0.799970,105.000000,0.741735,0.454867,3.000000,0.085828,0.722574,105.000000,0.000000,0.243243,0.651840,1.000000,0.717460,0.218750,0.540663,0.531493,0.445292,0.492702,0.047960
