db,db_label,model,total_poems,status,used_poems,used_cipai_count,used_cipais,cipai_entropy,imagery_jaccard_p50,category_entropy,whole_score,distinct_imagery_count,whole_lex_p50,raw_sentence_comparison_count,sentence_pair_count,sent_highsim_ratio,imagery_entropy,sentence_count,imagery_jaccard_p90,mihi_full,whole_sem_p90,whole_pair_count,whole_highsim_ratio,top10_imagery_concentration,whole_sem_p50,sent_score,topk_sent_mean,distinct_category_count,whole_pseudo_ratio,imagery_score,top1_sent_mean,sent_pseudo_ratio,whole_lex_p90,core_mihi,human_whole_score,human_sent_score,human_core_mihi,excess_core_homogeneity
a1,无限制生成,deepseek-3.2-thinking,26,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,无限制生成,doubao-seed-2.0-pro,47,exploratory,38,2,卜算子|鹧鸪天,0.831090,0.000000,0.891398,0.572983,167.421053,0.125443,12738.315789,172.473684,0.005388,0.991081,162.947368,0.051242,0.430662,0.767464,172.473684,0.005540,0.133717,0.683272,0.464453,0.585312,5.894737,1.000000,0.051306,0.635176,0.905817,0.200696,0.524145,0.518587,0.432339,0.479776,0.044369
a1,无限制生成,gemini-3-flash,13,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,无限制生成,gemini-3.1-pro,9,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,无限制生成,glm-4.7,9,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,无限制生成,glm-5,29,exploratory,9,1,鹧鸪天,0.877090,0.000000,0.946265,0.526100,88.000000,0.125000,2916.000000,36.000000,0.000000,0.996466,81.000000,0.023810,0.390729,0.729343,36.000000,0.000000,0.152174,0.614593,0.415889,0.531312,5.000000,1.000000,0.042114,0.580741,0.805556,0.156250,0.476505,0.513214,0.446898,0.483372,-0.006867
a1,无限制生成,gpt-5.4-high,2,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,无限制生成,kimi-k2.5,11,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,无限制生成,qwen3-max,45,exploratory,20,1,青玉案,0.566510,0.123293,0.511231,0.817610,137.800000,0.269099,27360.000000,190.000000,0.407018,0.922829,240.000000,0.304853,0.603720,0.916374,190.000000,0.563158,0.326352,0.860132,0.535856,0.810517,2.000000,0.993684,0.241230,0.884200,0.359298,0.445796,0.690821,0.562524,0.443974,0.509176,0.181644
a1,无限制生成,qwen3.5-flash,22,exploratory,11,1,鹧鸪天,0.764269,0.000000,0.691370,0.627115,123.000000,0.125000,4455.000000,55.000000,0.018182,0.989591,99.000000,0.068966,0.467482,0.835249,55.000000,0.054545,0.164286,0.731263,0.482514,0.626439,3.000000,1.000000,0.082002,0.675046,0.909091,0.196875,0.562045,0.528001,0.445810,0.491015,0.071030
a1,无限制生成,qwen3.6-plus,27,exploratory,13,1,鹧鸪天,0.773980,0.037749,0.487853,0.628787,126.000000,0.156250,6318.000000,78.000000,0.034188,0.971530,117.000000,0.095238,0.476271,0.826838,78.000000,0.051282,0.218935,0.740960,0.475264,0.648024,3.000000,1.000000,0.134870,0.709569,0.829060,0.239062,0.559702,0.529895,0.447601,0.492862,0.066839
b2,五词牌-改革主题,gemini-3.1-pro,4,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2,五词牌-改革主题,glm-5,23,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3,五词牌-玉兰主题,gemini-3.1-pro,2,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,沁园春-玉兰主题,gemini-3.1-pro,2,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,沁园春-改革主题,deepseek-3.2-thinking,4,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,沁园春-改革主题,qwen3.6-plus,16,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
