db,db_label,model,total_poems,used_poems,used_cipai_count,used_cipais,cipai_entropy,status,imagery_jaccard_p50,category_entropy,whole_score,distinct_imagery_count,whole_lex_p50,raw_sentence_comparison_count,sentence_pair_count,sent_highsim_ratio,imagery_entropy,sentence_count,imagery_jaccard_p90,mihi_full,whole_sem_p90,whole_pair_count,whole_highsim_ratio,top10_imagery_concentration,whole_sem_p50,sent_score,topk_sent_mean,distinct_category_count,whole_pseudo_ratio,imagery_score,top1_sent_mean,sent_pseudo_ratio,whole_lex_p90,core_mihi,human_whole_score,human_sent_score,human_core_mihi,excess_core_homogeneity
a1,无限制生成,qwen3-max,45,20,1,青玉案,0.566510,exploratory,0.123293,0.511231,0.817610,137.800000,0.269099,27360.000000,190.000000,0.407018,0.922829,240.000000,0.304853,0.603720,0.916374,190.000000,0.563158,0.326352,0.860132,0.535856,0.810517,2.000000,0.993684,0.241230,0.884200,0.359298,0.445796,0.690821,0.562524,0.443974,0.509176,0.181644
a1,无限制生成,qwen3.6-plus,27,13,1,鹧鸪天,0.773980,exploratory,0.037749,0.487853,0.628787,126.000000,0.156250,6318.000000,78.000000,0.034188,0.971530,117.000000,0.095238,0.476271,0.826838,78.000000,0.051282,0.218935,0.740960,0.475264,0.648024,3.000000,1.000000,0.134870,0.709569,0.829060,0.239062,0.559702,0.529895,0.447601,0.492862,0.066839
a1,无限制生成,qwen3.5-flash,22,11,1,鹧鸪天,0.764269,exploratory,0.000000,0.691370,0.627115,123.000000,0.125000,4455.000000,55.000000,0.018182,0.989591,99.000000,0.068966,0.467482,0.835249,55.000000,0.054545,0.164286,0.731263,0.482514,0.626439,3.000000,1.000000,0.082002,0.675046,0.909091,0.196875,0.562045,0.528001,0.445810,0.491015,0.071030
a1,无限制生成,doubao-seed-2.0-pro,47,38,2,卜算子|鹧鸪天,0.831090,exploratory,0.000000,0.891398,0.572983,167.421053,0.125443,12738.315789,172.473684,0.005388,0.991081,162.947368,0.051242,0.430662,0.767464,172.473684,0.005540,0.133717,0.683272,0.464453,0.585312,5.894737,1.000000,0.051306,0.635176,0.905817,0.200696,0.524145,0.518587,0.432339,0.479776,0.044369
a1,无限制生成,glm-5,29,9,1,鹧鸪天,0.877090,exploratory,0.000000,0.946265,0.526100,88.000000,0.125000,2916.000000,36.000000,0.000000,0.996466,81.000000,0.023810,0.390729,0.729343,36.000000,0.000000,0.152174,0.614593,0.415889,0.531312,5.000000,1.000000,0.042114,0.580741,0.805556,0.156250,0.476505,0.513214,0.446898,0.483372,-0.006867
b1,五词牌-无主题,qwen3.6-plus,107,62,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.970548,main,0.030865,0.603852,0.684464,138.722581,0.164645,16174.122581,83.596774,0.115603,0.975363,167.248387,0.101208,0.505785,0.851694,83.596774,0.184793,0.200748,0.783995,0.497454,0.701740,3.454839,0.997235,0.118333,0.772857,0.731186,0.244326,0.600310,0.556510,0.444993,0.506327,0.093983
b1,五词牌-无主题,doubao-seed-2.0-pro,176,62,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.994248,main,0.005476,0.705550,0.641317,128.235484,0.153347,16133.451613,83.596774,0.100391,0.983443,166.887097,0.072658,0.481247,0.829424,83.596774,0.114695,0.183318,0.739102,0.500243,0.678046,2.945161,0.995269,0.087846,0.746895,0.786726,0.225206,0.577834,0.556510,0.444993,0.506327,0.071507
b1,五词牌-无主题,deepseek-3.2-thinking,109,62,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.950483,main,0.000000,0.852250,0.611951,108.280645,0.148825,16282.590323,83.596774,0.085177,0.982803,167.512903,0.066981,0.454111,0.806670,83.596774,0.051792,0.195510,0.719184,0.469326,0.654715,4.909677,0.984229,0.072342,0.725497,0.725354,0.231162,0.547770,0.556510,0.444993,0.506327,0.041443
b1,五词牌-无主题,glm-5,39,33,3,浪淘沙|清平乐|祝英台近,0.869066,main,0.000000,0.877450,0.597465,90.696970,0.141988,7383.151515,68.151515,0.067981,0.981053,123.454545,0.090282,0.448532,0.798330,68.151515,0.008658,0.234368,0.712469,0.465582,0.651307,3.545455,0.993266,0.083594,0.726651,0.734648,0.207859,0.538118,0.549538,0.453250,0.506208,0.031909
b2,五词牌-改革主题,doubao-seed-2.0-pro,135,84,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.950604,main,0.014112,0.793136,0.755629,94.523810,0.183635,31651.047619,145.619048,0.100362,0.974098,234.666667,0.110251,0.522991,0.867004,145.619048,0.405129,0.264671,0.829004,0.460616,0.672268,2.819048,1.000000,0.108713,0.745464,0.656108,0.268258,0.622873,0.564519,0.449512,0.512766,0.110108
b2,五词牌-改革主题,qwen3.6-plus,81,64,4,沁园春|浪淘沙|清平乐|菩萨蛮,0.909782,main,0.026592,0.890830,0.761935,145.012500,0.175200,26529.750000,131.750000,0.091743,0.975126,208.500000,0.094139,0.516901,0.879441,131.750000,0.410865,0.195597,0.831859,0.448448,0.667668,2.887500,1.000000,0.085366,0.738329,0.634174,0.249094,0.620866,0.544738,0.445889,0.500256,0.120610
