db,db_label,model,cipai,poem_count_total,poem_count_used,resample_rounds,weight,raw_sentence_comparison_count,whole_sem_p90,whole_score,distinct_imagery_count,mihi_full,sentence_pair_count,whole_highsim_ratio,imagery_jaccard_p90,sent_pseudo_ratio,imagery_score,top10_imagery_concentration,whole_pseudo_ratio,sent_highsim_ratio,imagery_jaccard_p50,sentence_count,category_entropy,imagery_entropy,whole_lex_p90,top1_sent_mean,topk_sent_mean,whole_sem_p50,whole_lex_p50,sent_score,whole_pair_count,core_mihi,distinct_category_count,human_whole_score,human_sent_score,human_core_mihi,excess_core_homogeneity
a1,无限制生成,deepseek-3.2-thinking,鹧鸪天,11,11,5,11,4455.000000,0.759140,0.531587,88.000000,0.399054,55.000000,0.000000,0.071429,0.769697,0.066364,0.212121,1.000000,0.012121,0.000000,99.000000,0.948450,0.990723,0.171875,0.610022,0.551341,0.607690,0.109375,0.418764,55.000000,0.480817,8.000000,0.528001,0.445810,0.491015,-0.010198
a1,无限制生成,doubao-seed-2.0-pro,卜算子,18,18,5,18,9792.000000,0.737734,0.549257,135.000000,0.415355,153.000000,0.000000,0.052632,0.888889,0.047205,0.147651,1.000000,0.004357,0.000000,144.000000,0.962704,0.992129,0.211538,0.617191,0.566768,0.655875,0.134615,0.453567,153.000000,0.506197,6.000000,0.510935,0.423977,0.471804,0.034393
a1,无限制生成,doubao-seed-2.0-pro,鹧鸪天,25,20,5,20,15390.000000,0.794222,0.594337,196.600000,0.444439,190.000000,0.010526,0.049991,0.921053,0.054997,0.121176,1.000000,0.006316,0.000000,180.000000,0.827223,0.990138,0.190937,0.651363,0.602002,0.707929,0.117188,0.474251,190.000000,0.540298,5.800000,0.525475,0.439865,0.486950,0.053348
a1,无限制生成,glm-5,鹧鸪天,9,9,5,9,2916.000000,0.729343,0.526100,88.000000,0.390729,36.000000,0.000000,0.023810,0.805556,0.042114,0.152174,1.000000,0.000000,0.000000,81.000000,0.946265,0.996466,0.156250,0.580741,0.531312,0.614593,0.125000,0.415889,36.000000,0.476505,5.000000,0.513214,0.446898,0.483372,-0.006867
a1,无限制生成,qwen3-max,青玉案,39,20,5,20,27360.000000,0.916374,0.817610,137.800000,0.603720,190.000000,0.563158,0.304853,0.359298,0.241230,0.326352,0.993684,0.407018,0.123293,240.000000,0.511231,0.922829,0.445796,0.884200,0.810517,0.860132,0.269099,0.535856,190.000000,0.690821,2.000000,0.562524,0.443974,0.509176,0.181644
a1,无限制生成,qwen3.5-flash,鹧鸪天,11,11,5,11,4455.000000,0.835249,0.627115,123.000000,0.467482,55.000000,0.054545,0.068966,0.909091,0.082002,0.164286,1.000000,0.018182,0.000000,99.000000,0.691370,0.989591,0.196875,0.675046,0.626439,0.731263,0.125000,0.482514,55.000000,0.562045,3.000000,0.528001,0.445810,0.491015,0.071030
a1,无限制生成,qwen3.6-plus,鹧鸪天,16,16,5,16,9720.000000,0.819121,0.606132,158.000000,0.455748,120.000000,0.033333,0.083696,0.838889,0.093137,0.179612,1.000000,0.027778,0.000000,144.000000,0.662230,0.974858,0.218750,0.689423,0.630729,0.707458,0.156250,0.469605,120.000000,0.544695,4.000000,0.524806,0.440452,0.486847,0.057848
b1,五词牌-无主题,deepseek-3.2-thinking,沁园春,20,20,5,20,119701.000000,0.854347,0.675554,209.000000,0.488292,190.000000,0.121053,0.050000,0.589474,0.044392,0.121324,1.000000,0.192982,0.000000,502.000000,0.941692,0.982031,0.223577,0.823822,0.754918,0.790080,0.150538,0.501182,190.000000,0.597087,4.000000,0.635898,0.458012,0.555849,0.041238
b1,五词牌-无主题,deepseek-3.2-thinking,浪淘沙,34,16,5,16,12000.000000,0.799530,0.599948,114.400000,0.440913,120.000000,0.015000,0.082144,0.736111,0.086914,0.210627,1.000000,0.032222,0.000000,160.000000,0.779818,0.977660,0.235589,0.683336,0.619960,0.714179,0.143532,0.438723,120.000000,0.527397,5.200000,0.534417,0.438472,0.491242,0.036155
b1,五词牌-无主题,deepseek-3.2-thinking,清平乐,36,15,5,15,6720.000000,0.746690,0.542184,103.000000,0.414366,105.000000,0.001905,0.069366,0.841905,0.067395,0.204940,0.969524,0.005079,0.000000,120.000000,0.926408,0.982940,0.198519,0.645647,0.587038,0.635591,0.140741,0.448297,105.000000,0.499935,5.800000,0.533140,0.442754,0.492466,0.007468
