db,db_label,model,total_poems,used_poems,used_cipai_count,used_cipais,cipai_entropy,status,whole_pseudo_ratio,sent_highsim_ratio,imagery_jaccard_p50,sentence_count,category_entropy,raw_sentence_comparison_count,whole_sem_p90,whole_score,distinct_imagery_count,imagery_entropy,mihi_full,sentence_pair_count,whole_lex_p90,top1_sent_mean,topk_sent_mean,whole_highsim_ratio,imagery_jaccard_p90,whole_sem_p50,whole_lex_p50,sent_score,whole_pair_count,sent_pseudo_ratio,imagery_score,core_mihi,distinct_category_count,top10_imagery_concentration,human_whole_score,human_sent_score,human_core_mihi,excess_core_homogeneity
a1,无限制生成,deepseek-3.2-thinking,36,11,1,鹧鸪天,0.873452,exploratory,1.000000,0.012121,0.000000,99.000000,0.948450,4455.000000,0.759140,0.531587,88.000000,0.990723,0.399054,55.000000,0.171875,0.610022,0.551341,0.000000,0.071429,0.607690,0.109375,0.418764,55.000000,0.769697,0.066364,0.480817,8.000000,0.212121,0.528001,0.445810,0.491015,-0.010198
a1,无限制生成,doubao-seed-2.0-pro,47,38,2,卜算子|鹧鸪天,0.831090,exploratory,1.000000,0.005388,0.000000,162.947368,0.891398,12738.315789,0.767464,0.572983,167.421053,0.991081,0.430662,172.473684,0.200696,0.635176,0.585312,0.005540,0.051242,0.683272,0.125443,0.464453,172.473684,0.905817,0.051306,0.524145,5.894737,0.133717,0.518587,0.432339,0.479776,0.044369
a1,无限制生成,gemini-3-flash,17,,,,,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,无限制生成,gemini-3.1-pro,9,,,,,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,无限制生成,glm-4.7,17,,,,,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,无限制生成,glm-5,37,9,1,鹧鸪天,0.891593,exploratory,1.000000,0.000000,0.000000,81.000000,0.946265,2916.000000,0.729343,0.526100,88.000000,0.996466,0.390729,36.000000,0.156250,0.580741,0.531312,0.000000,0.023810,0.614593,0.125000,0.415889,36.000000,0.805556,0.042114,0.476505,5.000000,0.152174,0.513214,0.446898,0.483372,-0.006867
a1,无限制生成,gpt-5.4-high,2,,,,,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,无限制生成,kimi-k2.5,19,,,,,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,无限制生成,qwen3-max,45,20,1,青玉案,0.566510,exploratory,0.993684,0.407018,0.123293,240.000000,0.511231,27360.000000,0.916374,0.817610,137.800000,0.922829,0.603720,190.000000,0.445796,0.884200,0.810517,0.563158,0.304853,0.860132,0.269099,0.535856,190.000000,0.359298,0.241230,0.690821,2.000000,0.326352,0.562524,0.443974,0.509176,0.181644
a1,无限制生成,qwen3.5-flash,31,11,1,鹧鸪天,0.850054,exploratory,1.000000,0.018182,0.000000,99.000000,0.691370,4455.000000,0.835249,0.627115,123.000000,0.989591,0.467482,55.000000,0.196875,0.675046,0.626439,0.054545,0.068966,0.731263,0.125000,0.482514,55.000000,0.909091,0.082002,0.562045,3.000000,0.164286,0.528001,0.445810,0.491015,0.071030
a1,无限制生成,qwen3.6-plus,33,16,1,鹧鸪天,0.749498,exploratory,1.000000,0.027778,0.000000,144.000000,0.662230,9720.000000,0.819121,0.606132,158.000000,0.974858,0.455748,120.000000,0.218750,0.689423,0.630729,0.033333,0.083696,0.707458,0.156250,0.469605,120.000000,0.838889,0.093137,0.544695,4.000000,0.179612,0.524806,0.440452,0.486847,0.057848
b2,五词牌-改革主题,gemini-3.1-pro,4,,,,,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2,五词牌-改革主题,glm-5,29,,,,,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3,五词牌-玉兰主题,gemini-3.1-pro,2,,,,,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,沁园春-玉兰主题,gemini-3.1-pro,2,,,,,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,沁园春-改革主题,deepseek-3.2-thinking,18,,,,,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,沁园春-改革主题,qwen3.6-plus,19,,,,,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
