db,db_label,prompt_type,model,cipai,poem_count_total,poem_count_used,resample_rounds,weight,sent_pseudo_ratio,imagery_score,whole_pair_count,whole_lex_p50,core_mihi,sentence_count,imagery_jaccard_p50,whole_score,distinct_imagery_count,category_entropy,whole_pseudo_ratio,top10_imagery_concentration,whole_sem_p50,whole_highsim_ratio,whole_sem_p90,imagery_entropy,raw_sentence_comparison_count,topk_sent_mean,sentence_pair_count,top1_sent_mean,whole_lex_p90,sent_score,mihi_full,imagery_jaccard_p90,sent_highsim_ratio,distinct_category_count,human_whole_score,human_sent_score,human_core_mihi,excess_core_homogeneity
a1,无限制生成,type_c,deepseek-3.2-thinking,青玉案,11,11,5,11,0.636364,0.134381,55.000000,0.134146,0.551661,132.000000,0.055556,0.680359,76.000000,0.912207,1.000000,0.317308,0.789226,0.145455,0.855517,0.963730,7920.000000,0.610076,55.000000,0.662017,0.187500,0.394363,0.471065,0.156275,0.012121,5.000000,0.555650,0.443113,0.505008,0.046652
a1,无限制生成,type_c,deepseek-3.2-thinking,鹧鸪天,15,15,5,15,0.806349,0.080163,105.000000,0.109375,0.492887,131.000000,0.000000,0.552452,115.000000,0.940860,1.000000,0.205882,0.622852,0.009524,0.797071,0.981776,8001.000000,0.535115,105.000000,0.585472,0.171875,0.420086,0.411666,0.125000,0.006349,8.000000,0.515561,0.441384,0.482182,0.010706
a1,无限制生成,type_c,doubao-seed-2.0-pro,卜算子,18,18,5,18,0.888889,0.047205,153.000000,0.134615,0.506197,144.000000,0.000000,0.549257,135.000000,0.962704,1.000000,0.147651,0.655875,0.000000,0.737734,0.992129,9792.000000,0.566768,153.000000,0.617191,0.211538,0.453567,0.415355,0.052632,0.004357,6.000000,0.510935,0.423977,0.471804,0.034393
a1,无限制生成,type_c,doubao-seed-2.0-pro,鹧鸪天,26,20,5,20,0.919298,0.053695,190.000000,0.120208,0.537197,179.400000,0.000000,0.589277,196.600000,0.845526,1.000000,0.118625,0.701209,0.008421,0.789959,0.990197,15287.400000,0.600121,190.000000,0.649828,0.190250,0.473545,0.441654,0.054168,0.007018,5.800000,0.525475,0.439865,0.486950,0.050247
a1,无限制生成,type_c,glm-5,鹧鸪天,12,12,5,12,0.853535,0.029511,66.000000,0.109375,0.484828,107.000000,0.000000,0.529978,114.000000,0.960225,1.000000,0.126050,0.622351,0.000000,0.729343,0.996765,5247.000000,0.532249,66.000000,0.578614,0.140625,0.429645,0.394768,0.000000,0.000000,5.000000,0.528618,0.451745,0.494025,-0.009197
a1,无限制生成,type_c,qwen3-max,临江仙,9,9,5,9,0.509259,0.226470,36.000000,0.285714,0.719869,90.000000,0.130435,0.851337,62.000000,0.772507,0.972222,0.410714,0.873359,0.694444,0.919230,0.937341,3600.000000,0.788947,36.000000,0.885554,0.462100,0.559185,0.624110,0.278638,0.351852,3.000000,0.531648,0.431018,0.486365,0.233504
a1,无限制生成,type_c,qwen3-max,青玉案,39,20,5,20,0.359298,0.241230,190.000000,0.269099,0.690821,240.000000,0.123293,0.817610,137.800000,0.511231,0.993684,0.326352,0.860132,0.563158,0.916374,0.922829,27360.000000,0.810517,190.000000,0.884200,0.445796,0.535856,0.603720,0.304853,0.407018,2.000000,0.562524,0.443974,0.509176,0.181644
a1,无限制生成,type_c,qwen3.5-flash,鹧鸪天,13,13,5,13,0.901709,0.061904,78.000000,0.125000,0.559446,117.000000,0.000000,0.622553,137.000000,0.842089,1.000000,0.144654,0.724956,0.051282,0.832727,0.989276,6318.000000,0.630855,78.000000,0.683215,0.203125,0.482315,0.461340,0.064440,0.017094,3.000000,0.529895,0.447601,0.492862,0.066583
a1,无限制生成,type_c,qwen3.6-plus,临江仙,8,8,5,8,0.880952,0.113175,28.000000,0.124144,0.590647,80.000000,0.041667,0.675866,79.000000,0.875000,1.000000,0.278846,0.800561,0.107143,0.847190,0.974051,2800.000000,0.662740,28.000000,0.724810,0.187009,0.486491,0.497046,0.110909,0.011905,4.000000,0.525197,0.426722,0.480883,0.109764
a1,无限制生成,type_c,qwen3.6-plus,青玉案,8,8,5,8,0.773810,0.096705,28.000000,0.152681,0.598593,92.000000,0.000000,0.687370,88.000000,0.669592,1.000000,0.207547,0.804133,0.142857,0.855772,0.986783,3691.000000,0.691211,28.000000,0.764579,0.242493,0.490088,0.500188,0.083333,0.071429,3.000000,0.587451,0.460071,0.530130,0.068463
