db,db_label,prompt_type,model,cipai,poem_count_total,poem_count_used,resample_rounds,weight,sent_pseudo_ratio,imagery_score,whole_pair_count,whole_lex_p50,core_mihi,sentence_count,imagery_jaccard_p50,whole_score,distinct_imagery_count,category_entropy,whole_pseudo_ratio,top10_imagery_concentration,whole_sem_p50,whole_highsim_ratio,whole_sem_p90,imagery_entropy,raw_sentence_comparison_count,topk_sent_mean,sentence_pair_count,top1_sent_mean,whole_lex_p90,sent_score,mihi_full,imagery_jaccard_p90,sent_highsim_ratio,distinct_category_count,human_whole_score,human_sent_score,human_core_mihi,excess_core_homogeneity
a1,无限制生成,type_c,deepseek-3.2-thinking,鹧鸪天,11,11,5,11,0.769697,0.066364,55.000000,0.109375,0.480817,99.000000,0.000000,0.531587,88.000000,0.948450,1.000000,0.212121,0.607690,0.000000,0.759140,0.990723,4455.000000,0.551341,55.000000,0.610022,0.171875,0.418764,0.399054,0.071429,0.012121,8.000000,0.528001,0.445810,0.491015,-0.010198
a1,无限制生成,type_c,doubao-seed-2.0-pro,卜算子,18,18,5,18,0.888889,0.047205,153.000000,0.134615,0.506197,144.000000,0.000000,0.549257,135.000000,0.962704,1.000000,0.147651,0.655875,0.000000,0.737734,0.992129,9792.000000,0.566768,153.000000,0.617191,0.211538,0.453567,0.415355,0.052632,0.004357,6.000000,0.510935,0.423977,0.471804,0.034393
a1,无限制生成,type_c,doubao-seed-2.0-pro,鹧鸪天,25,20,5,20,0.921053,0.054997,190.000000,0.117188,0.540298,180.000000,0.000000,0.594337,196.600000,0.827223,1.000000,0.121176,0.707929,0.010526,0.794222,0.990138,15390.000000,0.602002,190.000000,0.651363,0.190937,0.474251,0.444439,0.049991,0.006316,5.800000,0.525475,0.439865,0.486950,0.053348
a1,无限制生成,type_c,glm-5,鹧鸪天,9,9,5,9,0.805556,0.042114,36.000000,0.125000,0.476505,81.000000,0.000000,0.526100,88.000000,0.946265,1.000000,0.152174,0.614593,0.000000,0.729343,0.996466,2916.000000,0.531312,36.000000,0.580741,0.156250,0.415889,0.390729,0.023810,0.000000,5.000000,0.513214,0.446898,0.483372,-0.006867
a1,无限制生成,type_c,qwen3-max,青玉案,39,20,5,20,0.359298,0.241230,190.000000,0.269099,0.690821,240.000000,0.123293,0.817610,137.800000,0.511231,0.993684,0.326352,0.860132,0.563158,0.916374,0.922829,27360.000000,0.810517,190.000000,0.884200,0.445796,0.535856,0.603720,0.304853,0.407018,2.000000,0.562524,0.443974,0.509176,0.181644
a1,无限制生成,type_c,qwen3.5-flash,鹧鸪天,11,11,5,11,0.909091,0.082002,55.000000,0.125000,0.562045,99.000000,0.000000,0.627115,123.000000,0.691370,1.000000,0.164286,0.731263,0.054545,0.835249,0.989591,4455.000000,0.626439,55.000000,0.675046,0.196875,0.482514,0.467482,0.068966,0.018182,3.000000,0.528001,0.445810,0.491015,0.071030
a1,无限制生成,type_c,qwen3.6-plus,鹧鸪天,16,16,5,16,0.838889,0.093137,120.000000,0.156250,0.544695,144.000000,0.000000,0.606132,158.000000,0.662230,1.000000,0.179612,0.707458,0.033333,0.819121,0.974858,9720.000000,0.630729,120.000000,0.689423,0.218750,0.469605,0.455748,0.083696,0.027778,4.000000,0.524806,0.440452,0.486847,0.057848
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,沁园春,20,20,5,20,0.589474,0.044392,190.000000,0.150538,0.597087,502.000000,0.000000,0.675554,209.000000,0.941692,1.000000,0.121324,0.790080,0.121053,0.854347,0.982031,119701.000000,0.754918,190.000000,0.823822,0.223577,0.501182,0.488292,0.050000,0.192982,4.000000,0.635898,0.458012,0.555849,0.041238
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,浪淘沙,34,16,5,16,0.736111,0.086914,120.000000,0.143532,0.527397,160.000000,0.000000,0.599948,114.400000,0.779818,1.000000,0.210627,0.714179,0.015000,0.799530,0.977660,12000.000000,0.619960,120.000000,0.683336,0.235589,0.438723,0.440913,0.082144,0.032222,5.200000,0.534417,0.438472,0.491242,0.036155
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,清平乐,36,15,5,15,0.841905,0.067395,105.000000,0.140741,0.499935,120.000000,0.000000,0.542184,103.000000,0.926408,0.969524,0.204940,0.635591,0.001905,0.746690,0.982940,6720.000000,0.587038,105.000000,0.645647,0.198519,0.448297,0.414366,0.069366,0.005079,5.800000,0.533140,0.442754,0.492466,0.007468
