contrast,scope,model,from_db,to_db,delta_mihi_full,delta_core_mihi,delta_whole_score,delta_sent_score,delta_imagery_score
改革-沁园春强约束与prompt精简效应,沁园春,deepseek-3.2-thinking,b2,c2,-0.002934,-0.000536,0.006599,-0.009256,-0.013316
改革-沁园春强约束与prompt精简效应,沁园春,doubao-seed-2.0-pro,b2,c2,-0.010672,-0.004420,-0.006471,-0.001914,-0.035450
改革-沁园春强约束与prompt精简效应,沁园春,qwen3.6-plus,b2,c2,-0.016477,-0.021305,-0.032763,-0.007301,0.004110
改革主题效应,model_level,deepseek-3.2-thinking,b1,b2,0.064109,0.071858,0.157786,-0.033165,0.023567
改革主题效应,model_level,doubao-seed-2.0-pro,b1,b2,0.047324,0.049199,0.120564,-0.038026,0.031894
改革主题效应,model_level,glm-5,b1,b2,0.026620,0.022575,0.077136,-0.044110,0.036736
改革主题效应,model_level,qwen3.6-plus,b1,b2,0.020334,0.031212,0.100360,-0.053302,-0.030863
玉兰-沁园春强约束与prompt精简效应,沁园春,deepseek-3.2-thinking,b3,c1,0.005320,0.004932,-0.014973,0.029261,0.009082
玉兰-沁园春强约束与prompt精简效应,沁园春,doubao-seed-2.0-pro,b3,c1,0.019850,0.020103,0.002390,0.041752,0.020806
玉兰-沁园春强约束与prompt精简效应,沁园春,qwen3.6-plus,b3,c1,-0.021452,-0.027745,-0.034459,-0.019539,0.004468
玉兰主题效应,model_level,deepseek-3.2-thinking,b1,b3,0.086166,0.059280,0.109435,-0.002021,0.188135
玉兰主题效应,model_level,doubao-seed-2.0-pro,b1,b3,0.053498,0.050542,0.102719,-0.013231,0.059525
玉兰主题效应,model_level,qwen3.6-plus,b1,b3,0.015081,0.005195,0.034491,-0.030612,0.051370
