db,db_label,prompt_type,model,total_poems,used_poems,used_cipai_count,used_cipais,cipai_entropy,status,whole_sem_p90,sent_pseudo_ratio,imagery_entropy,raw_sentence_comparison_count,topk_sent_mean,imagery_score,whole_pair_count,whole_lex_p50,core_mihi,sentence_pair_count,sentence_count,top1_sent_mean,imagery_jaccard_p50,whole_score,distinct_imagery_count,category_entropy,whole_lex_p90,whole_pseudo_ratio,sent_score,top10_imagery_concentration,mihi_full,imagery_jaccard_p90,whole_sem_p50,sent_highsim_ratio,whole_highsim_ratio,distinct_category_count,human_whole_score,human_sent_score,human_core_mihi,excess_core_homogeneity
a1,无限制生成,type_c,deepseek-3.2-thinking,50,26,2,青玉案|鹧鸪天,0.819694,exploratory,0.821798,0.734432,0.974141,7966.730769,0.566829,0.103101,83.846154,0.119855,0.517753,83.846154,131.423077,0.617856,0.023504,0.606567,98.500000,0.928737,0.178486,1.000000,0.409203,0.253024,0.436796,0.138232,0.693241,0.008791,0.067033,6.730769,0.532522,0.442116,0.491839,0.025914
a1,无限制生成,type_c,doubao-seed-2.0-pro,50,38,2,卜算子|鹧鸪天,0.733131,exploratory,0.765221,0.904894,0.991112,12684.315789,0.584322,0.050620,172.473684,0.127033,0.522513,172.473684,162.631579,0.634368,0.000000,0.570320,167.421053,0.901032,0.200334,1.000000,0.464082,0.132374,0.429197,0.053440,0.679735,0.005757,0.004432,5.894737,0.518587,0.432339,0.479776,0.042737
a1,无限制生成,type_c,gemini-3-flash,20,,,,,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,无限制生成,type_c,gemini-3.1-pro,10,,,,,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,无限制生成,type_c,glm-4.7,45,,,,,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,无限制生成,type_c,glm-5,50,12,1,鹧鸪天,0.886389,exploratory,0.729343,0.853535,0.996765,5247.000000,0.532249,0.029511,66.000000,0.109375,0.484828,66.000000,107.000000,0.578614,0.000000,0.529978,114.000000,0.960225,0.140625,1.000000,0.429645,0.126050,0.394768,0.000000,0.622351,0.000000,0.000000,5.000000,0.528618,0.451745,0.494025,-0.009197
a1,无限制生成,type_c,gpt-5.4-high,2,,,,,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,无限制生成,type_c,kimi-k2.5,28,,,,,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,无限制生成,type_c,qwen3-max,48,29,2,临江仙|青玉案,0.696212,exploratory,0.917260,0.405838,0.927332,19986.206897,0.803823,0.236650,142.206897,0.274256,0.699836,142.206897,193.448276,0.884620,0.125510,0.828077,114.275862,0.592317,0.450856,0.987024,0.543096,0.352534,0.610048,0.296717,0.864237,0.389897,0.603902,2.310345,0.552942,0.439953,0.502097,0.197739
a1,无限制生成,type_c,qwen3.5-flash,50,13,1,鹧鸪天,0.899276,exploratory,0.832727,0.901709,0.989276,6318.000000,0.630855,0.061904,78.000000,0.125000,0.559446,78.000000,117.000000,0.683215,0.000000,0.622553,137.000000,0.842089,0.203125,1.000000,0.482315,0.144654,0.461340,0.064440,0.724956,0.017094,0.051282,3.000000,0.529895,0.447601,0.492862,0.066583
a1,无限制生成,type_c,qwen3.6-plus,49,36,3,临江仙|青玉案|鹧鸪天,0.763023,exploratory,0.830564,0.841019,0.976853,9780.000000,0.648528,0.097075,118.000000,0.143539,0.565747,118.000000,137.000000,0.711514,0.009259,0.636390,140.333333,0.694559,0.211366,0.997076,0.479405,0.197728,0.473582,0.085718,0.745670,0.034113,0.071930,4.777778,0.539186,0.441434,0.495198,0.070549
b2,五词牌-改革主题,type_d,gemini-3.1-pro,4,,,,,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3,五词牌-玉兰主题,type_d,gemini-3.1-pro,2,,,,,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,沁园春-玉兰主题,type_a,gemini-3.1-pro,2,,,,,insufficient_usable_cipai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
