db,db_label,prompt_type,model,total_poems,used_poems,used_cipai_count,used_cipais,cipai_entropy,status,whole_sem_p90,sent_pseudo_ratio,imagery_entropy,raw_sentence_comparison_count,topk_sent_mean,imagery_score,whole_pair_count,whole_lex_p50,core_mihi,sentence_pair_count,sentence_count,top1_sent_mean,imagery_jaccard_p50,whole_score,distinct_imagery_count,category_entropy,whole_lex_p90,whole_pseudo_ratio,sent_score,top10_imagery_concentration,mihi_full,imagery_jaccard_p90,whole_sem_p50,sent_highsim_ratio,whole_highsim_ratio,distinct_category_count,human_whole_score,human_sent_score,human_core_mihi,excess_core_homogeneity,mihi_full_rank,core_mihi_rank,whole_score_rank,sent_score_rank,imagery_score_rank,excess_core_homogeneity_rank,db_mean_mihi_full,db_mean_whole_score,db_mean_sent_score,db_mean_imagery_score,mihi_full_minus_db_mean,whole_score_minus_db_mean,sent_score_minus_db_mean,imagery_score_minus_db_mean,top_model_by_mihi_full
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,138,71,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.983465,main,0.803334,0.719425,0.983597,40355.661972,0.657191,0.064197,115.830986,0.144886,0.545057,115.830986,239.459155,0.724250,0.000000,0.608778,133.304225,0.888977,0.218297,0.977364,0.467176,0.179214,0.450301,0.062446,0.713811,0.085184,0.054361,4.690141,0.568093,0.447507,0.513829,0.031228,3,3,3,3,3,3,0.482562,0.650076,0.495265,0.083425,-0.032261,-0.041298,-0.028089,-0.019228,qwen3.6-plus
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,188,71,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.997117,main,0.845596,0.777844,0.981676,40048.112676,0.694596,0.086596,115.830986,0.151412,0.589825,115.830986,238.647887,0.763776,0.007695,0.652602,165.988732,0.708206,0.226417,0.998893,0.513098,0.171716,0.490574,0.074192,0.748000,0.126529,0.124618,3.233803,0.568093,0.447507,0.513829,0.075996,2,2,2,1,2,2,0.482562,0.650076,0.495265,0.083425,0.008012,0.002526,0.017833,0.003171,qwen3.6-plus
b1,五词牌-无主题,type_b,qwen3.6-plus,120,71,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.982921,main,0.855564,0.693148,0.973494,40449.273239,0.717929,0.099483,115.830986,0.160770,0.606351,115.830986,239.819718,0.789737,0.027261,0.688847,165.028169,0.743850,0.233736,0.998122,0.505522,0.187020,0.506810,0.097087,0.785874,0.151641,0.196202,3.997183,0.568093,0.447507,0.513829,0.092521,1,1,1,2,1,1,0.482562,0.650076,0.495265,0.083425,0.024248,0.038771,0.010257,0.016058,qwen3.6-plus
b2,五词牌-改革主题,type_d,deepseek-3.2-thinking,98,58,3,浪淘沙|清平乐|菩萨蛮,0.871104,main,0.850256,0.556507,0.982938,13134.482759,0.648220,0.084920,178.517241,0.203931,0.555794,178.517241,166.206897,0.727343,0.000000,0.681799,71.786207,0.887428,0.280306,1.000000,0.401789,0.269081,0.464420,0.072563,0.802234,0.041586,0.128024,2.937931,0.518151,0.443082,0.484370,0.071425,3,3,3,3,2,3,0.498555,0.726329,0.438364,0.091398,-0.034135,-0.044530,-0.036575,-0.006478,doubao-seed-2.0-pro
b2,五词牌-改革主题,type_d,doubao-seed-2.0-pro,167,87,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.981188,main,0.862494,0.666357,0.975005,33342.356322,0.669092,0.108213,161.528736,0.177740,0.616483,161.528736,232.756322,0.746579,0.011905,0.738459,99.282759,0.781657,0.266071,1.000000,0.467401,0.251804,0.517539,0.117407,0.821637,0.108800,0.344460,2.708046,0.559805,0.448965,0.509927,0.106556,1,2,2,1,1,2,0.498555,0.726329,0.438364,0.091398,0.018984,0.012130,0.029037,0.016815,doubao-seed-2.0-pro
b2,五词牌-改革主题,type_d,qwen3.6-plus,99,87,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.965775,main,0.878329,0.645712,0.973923,33752.919540,0.669371,0.081062,161.528736,0.171196,0.617956,161.528736,234.287356,0.738254,0.022640,0.758728,161.620690,0.902481,0.243548,1.000000,0.445902,0.186707,0.513706,0.093747,0.830346,0.076780,0.400281,3.000000,0.559805,0.448965,0.509927,0.108029,2,1,1,2,3,1,0.498555,0.726329,0.438364,0.091398,0.015151,0.032399,0.007538,-0.010336,doubao-seed-2.0-pro
b3,五词牌-玉兰主题,type_d,deepseek-3.2-thinking,113,69,4,沁园春|浪淘沙|清平乐|菩萨蛮,0.919562,main,0.842523,0.531811,0.919209,20054.057971,0.713369,0.266538,152.666667,0.225472,0.584171,152.666667,195.449275,0.798932,0.107423,0.687419,55.562319,0.287543,0.317142,0.997457,0.457980,0.448447,0.522939,0.239705,0.791099,0.146892,0.195566,1.942029,0.541879,0.443307,0.497522,0.086650,2,3,3,3,1,3,0.524053,0.710445,0.472765,0.194426,-0.001114,-0.023026,-0.014785,0.072112,doubao-seed-2.0-pro
b3,五词牌-玉兰主题,type_d,doubao-seed-2.0-pro,184,88,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.995568,main,0.863380,0.745022,0.972341,25131.522727,0.697971,0.140841,156.625000,0.190112,0.625642,156.625000,218.738636,0.768564,0.010492,0.735903,102.109091,0.394511,0.270419,1.000000,0.490879,0.245786,0.531132,0.098785,0.821466,0.092009,0.330778,1.911364,0.558452,0.448229,0.508851,0.116791,1,1,1,1,3,1,0.524053,0.710445,0.472765,0.194426,0.007079,0.025458,0.018114,-0.053585,doubao-seed-2.0-pro
b3,五词牌-玉兰主题,type_d,qwen3.6-plus,106,88,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.977094,main,0.855254,0.671101,0.961727,25850.790909,0.699320,0.175900,156.625000,0.204479,0.600654,156.625000,221.193182,0.765543,0.041278,0.708014,135.329545,0.173986,0.285947,1.000000,0.469436,0.242834,0.518089,0.105827,0.805185,0.096106,0.244225,1.375000,0.558452,0.448229,0.508851,0.091802,3,2,2,2,2,2,0.524053,0.710445,0.472765,0.194426,-0.005964,-0.002431,-0.003329,-0.018526,doubao-seed-2.0-pro
c1,沁园春-玉兰主题,type_a,deepseek-3.2-thinking,138,20,1,沁园春,0.000000,main,0.909158,0.398596,0.942173,118845.000000,0.822154,0.237906,190.000000,0.182734,0.724666,190.000000,500.200000,0.898773,0.069254,0.884297,108.400000,0.000000,0.259260,1.000000,0.529562,0.323949,0.630861,0.172380,0.881204,0.350877,0.854737,1.000000,0.635898,0.458012,0.555849,0.168817,2,2,2,2,1,2,0.621132,0.895065,0.536206,0.153404,0.009729,-0.010768,-0.006644,0.084502,doubao-seed-2.0-pro
