db,db_label,prompt_type,model,total_poems,used_poems,used_cipai_count,used_cipais,cipai_entropy,status,whole_sem_p90,sent_pseudo_ratio,imagery_entropy,raw_sentence_comparison_count,topk_sent_mean,imagery_score,whole_pair_count,whole_lex_p50,core_mihi,sentence_pair_count,sentence_count,top1_sent_mean,imagery_jaccard_p50,whole_score,distinct_imagery_count,category_entropy,whole_lex_p90,whole_pseudo_ratio,sent_score,top10_imagery_concentration,mihi_full,imagery_jaccard_p90,whole_sem_p50,sent_highsim_ratio,whole_highsim_ratio,distinct_category_count,human_whole_score,human_sent_score,human_core_mihi,excess_core_homogeneity
a1,无限制生成,type_c,qwen3-max,48,29,2,临江仙|青玉案,0.696212,exploratory,0.917260,0.405838,0.927332,19986.206897,0.803823,0.236650,142.206897,0.274256,0.699836,142.206897,193.448276,0.884620,0.125510,0.828077,114.275862,0.592317,0.450856,0.987024,0.543096,0.352534,0.610048,0.296717,0.864237,0.389897,0.603902,2.310345,0.552942,0.439953,0.502097,0.197739
a1,无限制生成,type_c,qwen3.6-plus,49,36,3,临江仙|青玉案|鹧鸪天,0.763023,exploratory,0.830564,0.841019,0.976853,9780.000000,0.648528,0.097075,118.000000,0.143539,0.565747,118.000000,137.000000,0.711514,0.009259,0.636390,140.333333,0.694559,0.211366,0.997076,0.479405,0.197728,0.473582,0.085718,0.745670,0.034113,0.071930,4.777778,0.539186,0.441434,0.495198,0.070549
a1,无限制生成,type_c,qwen3.5-flash,50,13,1,鹧鸪天,0.899276,exploratory,0.832727,0.901709,0.989276,6318.000000,0.630855,0.061904,78.000000,0.125000,0.559446,78.000000,117.000000,0.683215,0.000000,0.622553,137.000000,0.842089,0.203125,1.000000,0.482315,0.144654,0.461340,0.064440,0.724956,0.017094,0.051282,3.000000,0.529895,0.447601,0.492862,0.066583
a1,无限制生成,type_c,deepseek-3.2-thinking,50,26,2,青玉案|鹧鸪天,0.819694,exploratory,0.821798,0.734432,0.974141,7966.730769,0.566829,0.103101,83.846154,0.119855,0.517753,83.846154,131.423077,0.617856,0.023504,0.606567,98.500000,0.928737,0.178486,1.000000,0.409203,0.253024,0.436796,0.138232,0.693241,0.008791,0.067033,6.730769,0.532522,0.442116,0.491839,0.025914
a1,无限制生成,type_c,doubao-seed-2.0-pro,50,38,2,卜算子|鹧鸪天,0.733131,exploratory,0.765221,0.904894,0.991112,12684.315789,0.584322,0.050620,172.473684,0.127033,0.522513,172.473684,162.631579,0.634368,0.000000,0.570320,167.421053,0.901032,0.200334,1.000000,0.464082,0.132374,0.429197,0.053440,0.679735,0.005757,0.004432,5.894737,0.518587,0.432339,0.479776,0.042737
a1,无限制生成,type_c,glm-5,50,12,1,鹧鸪天,0.886389,exploratory,0.729343,0.853535,0.996765,5247.000000,0.532249,0.029511,66.000000,0.109375,0.484828,66.000000,107.000000,0.578614,0.000000,0.529978,114.000000,0.960225,0.140625,1.000000,0.429645,0.126050,0.394768,0.000000,0.622351,0.000000,0.000000,5.000000,0.528618,0.451745,0.494025,-0.009197
b1,五词牌-无主题,type_b,qwen3.6-plus,188,94,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.992047,main,0.847589,0.715876,0.967635,36780.551064,0.702360,0.107835,170.404255,0.161490,0.589105,170.404255,246.814894,0.774697,0.031166,0.664504,182.612766,0.688764,0.234342,0.997544,0.496950,0.187773,0.494526,0.100047,0.769579,0.124445,0.127187,4.040426,0.562796,0.448098,0.511182,0.077923
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,200,94,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.996310,main,0.842887,0.798868,0.980559,40875.319149,0.683592,0.081339,170.404255,0.149889,0.583203,170.404255,259.659574,0.752053,0.004756,0.646093,193.153191,0.699180,0.220979,0.994189,0.506336,0.152782,0.484227,0.068366,0.743479,0.102650,0.107438,3.425532,0.562796,0.448098,0.511182,0.072021
b1,五词牌-无主题,type_b,glm-5,98,94,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.994699,main,0.806568,0.751284,0.980083,40301.744681,0.666181,0.072426,170.404255,0.143249,0.557008,170.404255,258.765957,0.735959,0.000000,0.617892,157.414894,0.825903,0.203380,0.996578,0.482594,0.170591,0.461445,0.075627,0.728438,0.091054,0.058517,4.861702,0.562796,0.448098,0.511182,0.045826
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,200,94,5,沁园春|浪淘沙|清平乐|祝英台近|菩萨蛮,0.998444,main,0.808094,0.725792,0.976577,41223.736170,0.644766,0.073376,170.404255,0.145668,0.541014,170.404255,260.646809,0.717168,0.002815,0.603751,150.663830,0.870172,0.221517,0.966293,0.464335,0.186407,0.448880,0.079138,0.701310,0.078616,0.053338,6.321277,0.562796,0.448098,0.511182,0.029832
