ai_uid,db_key,ai_poem_id,model_name,cipai,title,sentence_count,whole_sem_top1_score,whole_sem_top1_source_poem_id,whole_sem_top1_source_title,whole_sem_top1_source_author,whole_sem_percentile,whole_lex_top1_score,whole_lex_top1_source_poem_id,whole_lex_top1_source_title,whole_lex_top1_source_author,whole_lex_percentile,sem_dominant_source_poem_id,sem_dominant_source_title,sem_dominant_source_author,sem_dominant_source_coverage,lex_dominant_source_poem_id,lex_dominant_source_title,lex_dominant_source_author,lex_dominant_source_coverage,distinct_sem_source_poems,distinct_lex_source_poems,max_consecutive_sem_same_source,max_consecutive_lex_same_source,same_source_sentence_count,max_sentence_sem_score,max_sentence_lex_score
c2:20,c2,20,doubao-seed-2.0-pro,沁园春,宗门感事,25,0.931730329990387,8302,满庭芳,如愚居士,0.9810874704491725,0.18705035971223022,7674,沁园春,李曾伯,0.2907801418439716,19040,醉蓬莱,孙道绚,0.04,19827,六州歌头,洪适,0.08,25,24,1,1,5,0.962004,0.75
b1:556,b1,556,deepseek-3.2-thinking,沁园春,山居秋暝,25,0.9201946258544922,20615,兰陵王,曹冠,0.9290780141843972,0.18726591760299627,18222,永遇乐,李弥逊,0.2907801418439716,2100,满江红,王质,0.04,8284,惜红衣,李莱老,0.04,25,25,1,1,8,1.0,1.0
b1:104,b1,104,doubao-seed-2.0-pro,沁园春,太湖秋泛,25,0.9182694554328918,20064,念奴娇,侯置,0.9054373522458629,0.1776061776061776,19668,念奴娇,毛并,0.0425531914893617,5276,柳梢青,戴复古,0.04,10760,沁园春,刘将孙,0.04,25,25,1,1,5,1.0,1.0
a1:220,a1,220,glm-4.7,满江红,暴雨骤至,19,0.9169464707374573,2329,水调歌头,张孝祥,0.9781420765027322,0.1826086956521739,14242,满江红,京镗,0.009107468123861567,12550,解语花,方千里,0.05263157894736842,8360,八声甘州,周济川,0.05263157894736842,19,19,1,1,8,1.0,1.0
b1:237,b1,237,qwen3.6-plus,沁园春,江天秋望,25,0.9143732786178589,19049,念奴娇,陆凝之,0.8747044917257684,0.19285714285714287,20902,沁园春,陆游,0.34988179669030733,7423,满江红,陈垲,0.04,7423,满江红,陈垲,0.04,25,25,1,1,11,1.0,1.0
a1:117,a1,117,qwen3.5-flash,贺新郎,秋夜怀人,20,0.9142552018165588,6367,沁园春,葛长庚,0.853185595567867,0.16901408450704225,7193,贺新郎,吴潜,0.08587257617728532,2024,念奴娇,范成大,0.05,12079,宝鼎现,范周,0.05,20,20,1,1,7,1.0,1.0
b1:279,b1,279,qwen3.6-plus,沁园春,秋江望月,24,0.9138540029525757,20064,念奴娇,侯置,0.8747044917257684,0.171875,19883,水调歌头,韩元吉,0.016548463356973995,12055,宴桃源・如梦令,米友仁,0.041666666666666664,1517,定风波,苏轼,0.041666666666666664,24,24,1,1,8,0.999999,1.0
b2:582,b2,582,glm-5,祝英台近,宗规,16,0.91330885887146,16240,喜迁莺,张继先,0.9428571428571428,0.18309859154929578,19638,点绛唇,曾协,0.2857142857142857,4769,沁园春,汪莘,0.0625,4769,沁园春,汪莘,0.0625,16,16,1,1,2,0.877883,0.857143
b1:324,b1,324,qwen3.6-plus,祝英台近,春暮怀远,16,0.9131422638893127,9709,拜星月慢,周密,0.9428571428571428,0.19736842105263158,8672,西江月,陈著,0.42857142857142855,7573,声声慢,李曾伯,0.0625,10757,六州歌头,刘将孙,0.0625,16,16,1,1,7,1.0,1.0
b3:10,b3,10,deepseek-3.2-thinking,沁园春,见玉兰有感,26,0.9127975106239319,2655,念奴娇,赵长卿,0.8628841607565012,0.1732283464566929,5213,水调歌头,程珌,0.030732860520094562,13896,念奴娇,华岳,0.038461538461538464,13094,水调歌头,无名氏,0.038461538461538464,26,26,1,1,12,1.000001,1.0
