scope,cipai,length_bucket,metric_type,count,mean,p50,p90,p95,p99,max
sentence,一剪梅,6-8,semantic,62,0.5747176860609362,0.5691689550876617,0.6688218593597413,0.7060483962297439,0.7195475101470947,0.7195475101470947
sentence,一剪梅,6-8,lexical,62,0.21625471302890656,0.18181818181818182,0.35584415584415574,0.36363636363636365,0.36363636363636365,0.36363636363636365
sentence,一剪梅,<=5,semantic,84,0.7232911579665684,0.7105181217193604,0.8907568454742432,0.9068939685821533,0.9527559876441956,0.9527559876441956
sentence,一剪梅,<=5,lexical,84,0.4266233766233766,0.25,0.75,0.75,0.75,0.75
sentence,临江仙,6-8,semantic,2828,0.708915238839059,0.6966257393360138,0.7998362839221955,0.8622306615114212,1.000000206232071,1.0000007152557373
sentence,临江仙,6-8,lexical,2828,0.3949180071876428,0.36363636363636365,0.5,0.6666666666666666,1.0,1.0
sentence,临江仙,9-11,semantic,5,0.6176570057868958,0.6215144395828247,0.7332969784736634,0.756948733329773,0.7758701372146606,0.7806004881858826
sentence,临江仙,9-11,lexical,5,0.3346358543417367,0.35294117647058826,0.40714285714285714,0.4178571428571428,0.4264285714285714,0.42857142857142855
sentence,临江仙,<=5,semantic,1915,0.7181559697766217,0.7026874423027039,0.822355329990387,0.9115960597991943,1.0000001192092896,1.0000005960464478
sentence,临江仙,<=5,lexical,1915,0.434318944762809,0.4,0.6,0.8,1.0,1.0
sentence,八声甘州,6-8,semantic,352,0.6729369073767554,0.657904714345932,0.7637490212917328,0.8067781716585158,0.9999996083974838,0.9999999403953552
sentence,八声甘州,6-8,lexical,352,0.3721789935777235,0.36363636363636365,0.5,0.5699999999999994,1.0,1.0
sentence,八声甘州,9-11,semantic,197,0.6538108081987062,0.6386012434959412,0.7348589301109314,0.7561009168624878,0.999999828338623,1.0
sentence,八声甘州,9-11,lexical,197,0.34202709190843905,0.3333333333333333,0.4444444444444444,0.46153846153846156,1.0,1.0
sentence,八声甘州,<=5,semantic,1484,0.6877011956390987,0.6744456589221954,0.7852663993835449,0.8351220726966856,0.9999998807907104,1.000000238418579
sentence,八声甘州,<=5,lexical,1484,0.40136422053537957,0.4,0.5714285714285714,0.6666666666666666,1.0,1.0
sentence,卜算子,15+,semantic,1,0.454008013010025,0.454008013010025,0.454008013010025,0.454008013010025,0.454008013010025,0.454008013010025
sentence,卜算子,15+,lexical,1,0.1,0.1,0.1,0.1,0.1,0.1
sentence,卜算子,6-8,semantic,504,0.6924850285526306,0.6827143728733063,0.8062575459480286,0.8458070755004883,1.000000238418579,1.0000005960464478
sentence,卜算子,6-8,lexical,504,0.3800413211127497,0.3333333333333333,0.5,0.6666666666666666,1.0,1.0
sentence,卜算子,9-11,semantic,3,0.6532219052314758,0.6338242888450623,0.7202560782432557,0.7310600519180298,0.7397032308578492,0.741864025592804
sentence,卜算子,9-11,lexical,3,0.29365079365079366,0.2857142857142857,0.39999999999999997,0.41428571428571426,0.4257142857142857,0.42857142857142855
sentence,卜算子,<=5,semantic,1376,0.7098433811130912,0.6964956820011139,0.8210083246231079,0.8985874652862549,1.000000238418579,1.0000005960464478
sentence,卜算子,<=5,lexical,1376,0.41437149333224915,0.4,0.6,0.8,1.0,1.0
sentence,双双燕,6-8,semantic,21,0.5997490173294431,0.5957566499710083,0.672034740447998,0.6788073182106018,0.6954694867134095,0.6996350288391113
sentence,双双燕,6-8,lexical,21,0.22151446437160724,0.2,0.4,0.5,0.5,0.5
sentence,双双燕,<=5,semantic,17,0.5614019737524145,0.5664267539978027,0.640334177017212,0.6829728603363038,0.6963025951385498,0.6996350288391113
sentence,双双燕,<=5,lexical,17,0.19655377302436128,0.2,0.2833333333333333,0.3466666666666666,0.38933333333333336,0.4
sentence,定风波,6-8,semantic,624,0.653403090313077,0.6499216258525848,0.7398229002952577,0.7639007806777953,0.9241863590478879,0.9999999403953552
sentence,定风波,6-8,lexical,624,0.31132243824551514,0.2857142857142857,0.4444444444444444,0.4444444444444444,0.7914285714285662,1.0
sentence,定风波,9-11,semantic,4,0.5519398897886276,0.5545563697814941,0.5664259731769562,0.5674365133047103,0.5682449454069137,0.5684470534324646
sentence,定风波,9-11,lexical,4,0.2576871657754011,0.2426470588235294,0.3295454545454546,0.34659090909090906,0.36022727272727273,0.36363636363636365
sentence,定风波,<=5,semantic,253,0.7876369413651025,0.7744759917259216,1.0,1.0000001192092896,1.0000004720687865,1.0000005960464478
sentence,定风波,<=5,lexical,253,0.5366510959396336,0.5,1.0,1.0,1.0,1.0
sentence,念奴娇,6-8,semantic,2866,0.7295492434534924,0.7190563380718231,0.830117404460907,0.8779377788305283,1.0,1.0000007152557373
sentence,念奴娇,6-8,lexical,2866,0.4426422165513336,0.4,0.6,0.7272727272727273,1.0,1.0
sentence,念奴娇,9-11,semantic,194,0.695034306688407,0.686811089515686,0.7747810125350952,0.7820055216550826,0.8568784373998631,0.9999996423721313
sentence,念奴娇,9-11,lexical,194,0.38220942598835095,0.375,0.5,0.5714285714285714,0.7209999999999979,1.0
sentence,念奴娇,<=5,semantic,5270,0.7547786375603142,0.7417366206645966,0.8732551336288452,0.9374709933996201,1.000000238418579,1.0000008344650269
sentence,念奴娇,<=5,lexical,5270,0.48794108063557784,0.5,0.75,0.8,1.0,1.0
sentence,扬州慢,6-8,semantic,40,0.5893550112843513,0.5935254096984863,0.6796449422836304,0.7158336937427521,0.7217662334442139,0.7217662334442139
sentence,扬州慢,6-8,lexical,40,0.26745761183261185,0.25,0.375,0.4,0.4,0.4
sentence,扬州慢,<=5,semantic,76,0.6103331552524316,0.5958461165428162,0.738503634929657,0.7766001969575882,0.8738338947296143,0.8738338947296143
sentence,扬州慢,<=5,lexical,76,0.2583522471680366,0.25,0.4222222222222222,0.4583333333333333,0.5,0.5
sentence,水调歌头,6-8,semantic,4378,0.7349953044353963,0.7235015034675598,0.8360019385814667,0.8832997411489485,0.9999999403953552,1.0000007152557373
sentence,水调歌头,6-8,lexical,4378,0.4635475610121567,0.4444444444444444,0.6666666666666666,0.7272727272727273,1.0,1.0
sentence,水调歌头,9-11,semantic,3,0.5903541048367819,0.5917513966560364,0.6082236409187317,0.6102826714515687,0.6119298958778382,0.6123417019844055
sentence,水调歌头,9-11,lexical,3,0.2793650793650793,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
sentence,水调歌头,<=5,semantic,9529,0.7615203238919694,0.7465895414352417,0.8803881883621216,0.9669214487075806,1.000000238418579,1.0000007152557373
sentence,水调歌头,<=5,lexical,9529,0.5211330594057008,0.5,0.75,0.8888888888888888,1.0,1.0
sentence,水龙吟,6-8,semantic,1590,0.7115369755891884,0.7037883400917053,0.8032387554645539,0.836581751704216,0.9374214291572565,1.000000238418579
sentence,水龙吟,6-8,lexical,1590,0.412782798551389,0.4,0.5714285714285714,0.6,0.8571428571428571,1.0
sentence,水龙吟,9-11,semantic,16,0.6836709976196289,0.673413872718811,0.7961658537387848,0.8159670829772949,0.8159670829772949,0.8159670829772949
sentence,水龙吟,9-11,lexical,16,0.3783768315018315,0.35294117647058826,0.47058823529411764,0.49579831932773105,0.5563025210084033,0.5714285714285714
sentence,水龙吟,<=5,semantic,4745,0.7470876712819171,0.7380732893943787,0.8499682545661926,0.8928757905960083,1.0,1.0000004768371582
sentence,水龙吟,<=5,lexical,4745,0.46488041638726574,0.5,0.6,0.75,1.0,1.0
sentence,永遇乐,6-8,semantic,361,0.6921953080103338,0.680908203125,0.7829654216766357,0.8155800700187683,1.0000000953674317,1.0000005960464478
sentence,永遇乐,6-8,lexical,361,0.36607882729766383,0.36363636363636365,0.46153846153846156,0.6666666666666666,1.0,1.0
sentence,永遇乐,9-11,semantic,2,0.7494514882564545,0.7494514882564545,0.8061901271343231,0.8132824569940568,0.8189563208818436,0.8203747868537903
sentence,永遇乐,9-11,lexical,2,0.38461538461538464,0.38461538461538464,0.5692307692307692,0.5923076923076923,0.6107692307692307,0.6153846153846154
