model,total_poems,avg_rhythm_score,median_rhythm_score,p25_rhythm_score,p75_rhythm_score,perfect_100_ratio,high_quality_ratio,mid_quality_ratio,low_quality_ratio,zero_score_ratio,issue_free_ratio,avg_raw_issue_count,avg_substantive_issue_count,length_mismatch_poem_ratio,length_mismatch_avg_count,tone_expected_flat_poem_ratio,tone_expected_flat_avg_count,tone_expected_oblique_poem_ratio,tone_expected_oblique_avg_count,rhyme_mismatch_poem_ratio,rhyme_mismatch_avg_count,unknown_char_poem_ratio,unknown_char_avg_count,variant_autocorrect_poem_ratio,variant_autocorrect_avg_count,other_poem_ratio,other_avg_count,db_coverage,dbs
deepseek-3.2-thinking,949,56.016860,76.000000,0.000000,100.000000,0.302424,0.423604,0.146470,0.135933,0.293994,0.298209,5.683878,5.578504,0.110643,0.110643,0.540569,3.081138,0.475237,2.286617,0.063224,0.088514,0.011591,0.011591,0.105374,0.105374,0.000000,0.000000,6,a1|b1|b2|b3|c1|c2
doubao-seed-2.0-pro,950,83.865263,100.000000,85.000000,100.000000,0.632632,0.754737,0.113684,0.040000,0.091579,0.621053,1.956842,1.840000,0.035789,0.035789,0.283158,1.011579,0.226316,0.741053,0.023158,0.035789,0.015789,0.015789,0.116842,0.116842,0.000000,0.000000,6,a1|b1|b2|b3|c1|c2
gemini-3-flash,20,78.000000,88.000000,73.000000,100.000000,0.450000,0.650000,0.200000,0.050000,0.100000,0.450000,2.900000,2.900000,0.000000,0.000000,0.500000,1.650000,0.400000,1.200000,0.050000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,a1
gemini-3.1-pro,18,97.333333,100.000000,100.000000,100.000000,0.944444,0.944444,0.000000,0.055556,0.000000,0.944444,0.277778,0.222222,0.000000,0.000000,0.055556,0.166667,0.055556,0.055556,0.000000,0.000000,0.000000,0.000000,0.055556,0.055556,0.000000,0.000000,4,a1|b2|b3|c1
glm-4.7,45,35.911111,0.000000,0.000000,76.000000,0.133333,0.200000,0.177778,0.111111,0.511111,0.133333,4.733333,4.733333,0.377778,0.377778,0.422222,2.266667,0.422222,1.733333,0.111111,0.288889,0.066667,0.066667,0.000000,0.000000,0.000000,0.000000,1,a1
glm-5,211,56.663507,76.000000,0.000000,100.000000,0.374408,0.431280,0.142180,0.118483,0.308057,0.369668,3.327014,3.199052,0.218009,0.218009,0.360190,1.549763,0.364929,1.312796,0.042654,0.094787,0.023697,0.023697,0.127962,0.127962,0.000000,0.000000,3,a1|b1|b2
gpt-5.4-high,2,100.000000,100.000000,100.000000,100.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,a1
kimi-k2.5,28,61.142857,76.000000,46.000000,88.000000,0.142857,0.392857,0.285714,0.142857,0.178571,0.107143,3.714286,3.714286,0.071429,0.071429,0.750000,2.214286,0.464286,1.285714,0.071429,0.107143,0.035714,0.035714,0.000000,0.000000,0.000000,0.000000,1,a1
qwen3-max,48,93.166667,100.000000,100.000000,100.000000,0.895833,0.937500,0.000000,0.000000,0.062500,0.895833,1.333333,1.333333,0.000000,0.000000,0.083333,0.479167,0.062500,0.645833,0.083333,0.208333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,a1
qwen3.5-flash,50,57.280000,76.000000,0.000000,100.000000,0.360000,0.440000,0.180000,0.040000,0.340000,0.320000,2.720000,2.720000,0.180000,0.180000,0.400000,1.380000,0.360000,0.960000,0.080000,0.140000,0.060000,0.060000,0.000000,0.000000,0.000000,0.000000,1,a1
qwen3.6-plus,801,53.168539,76.000000,0.000000,100.000000,0.384519,0.459426,0.091136,0.043695,0.405743,0.372035,2.876404,2.801498,0.324594,0.324594,0.247191,1.280899,0.227216,1.053683,0.063670,0.119850,0.022472,0.022472,0.074906,0.074906,0.000000,0.000000,6,a1|b1|b2|b3|c1|c2
