db,db_label,prompt_type,model,total_poems,avg_rhythm_score,median_rhythm_score,p25_rhythm_score,p75_rhythm_score,perfect_100_ratio,high_quality_ratio,mid_quality_ratio,low_quality_ratio,zero_score_ratio,issue_free_ratio,avg_raw_issue_count,avg_substantive_issue_count,length_mismatch_poem_ratio,length_mismatch_avg_count,tone_expected_flat_poem_ratio,tone_expected_flat_avg_count,tone_expected_oblique_poem_ratio,tone_expected_oblique_avg_count,rhyme_mismatch_poem_ratio,rhyme_mismatch_avg_count,unknown_char_poem_ratio,unknown_char_avg_count,variant_autocorrect_poem_ratio,variant_autocorrect_avg_count,other_poem_ratio,other_avg_count
a1,无限制生成,type_c,deepseek-3.2-thinking,50,69.520000,88.000000,52.000000,100.000000,0.320000,0.520000,0.200000,0.120000,0.160000,0.320000,2.920000,2.920000,0.040000,0.040000,0.560000,1.720000,0.440000,1.140000,0.020000,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
a1,无限制生成,type_c,doubao-seed-2.0-pro,50,94.320000,100.000000,100.000000,100.000000,0.880000,0.940000,0.000000,0.020000,0.040000,0.880000,0.180000,0.180000,0.040000,0.040000,0.060000,0.100000,0.040000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
a1,无限制生成,type_c,gemini-3-flash,20,78.000000,88.000000,73.000000,100.000000,0.450000,0.650000,0.200000,0.050000,0.100000,0.450000,2.900000,2.900000,0.000000,0.000000,0.500000,1.650000,0.400000,1.200000,0.050000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
a1,无限制生成,type_c,gemini-3.1-pro,10,95.200000,100.000000,100.000000,100.000000,0.900000,0.900000,0.000000,0.100000,0.000000,0.900000,0.400000,0.400000,0.000000,0.000000,0.100000,0.300000,0.100000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
a1,无限制生成,type_c,glm-4.7,45,35.911111,0.000000,0.000000,76.000000,0.133333,0.200000,0.177778,0.111111,0.511111,0.133333,4.733333,4.733333,0.377778,0.377778,0.422222,2.266667,0.422222,1.733333,0.111111,0.288889,0.066667,0.066667,0.000000,0.000000,0.000000,0.000000
a1,无限制生成,type_c,glm-5,50,71.200000,94.000000,46.000000,100.000000,0.500000,0.580000,0.160000,0.100000,0.160000,0.480000,2.760000,2.760000,0.080000,0.080000,0.400000,1.420000,0.300000,1.120000,0.060000,0.120000,0.020000,0.020000,0.000000,0.000000,0.000000,0.000000
a1,无限制生成,type_c,gpt-5.4-high,2,100.000000,100.000000,100.000000,100.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
a1,无限制生成,type_c,kimi-k2.5,28,61.142857,76.000000,46.000000,88.000000,0.142857,0.392857,0.285714,0.142857,0.178571,0.107143,3.714286,3.714286,0.071429,0.071429,0.750000,2.214286,0.464286,1.285714,0.071429,0.107143,0.035714,0.035714,0.000000,0.000000,0.000000,0.000000
a1,无限制生成,type_c,qwen3-max,48,93.166667,100.000000,100.000000,100.000000,0.895833,0.937500,0.000000,0.000000,0.062500,0.895833,1.333333,1.333333,0.000000,0.000000,0.083333,0.479167,0.062500,0.645833,0.083333,0.208333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
a1,无限制生成,type_c,qwen3.5-flash,50,57.280000,76.000000,0.000000,100.000000,0.360000,0.440000,0.180000,0.040000,0.340000,0.320000,2.720000,2.720000,0.180000,0.180000,0.400000,1.380000,0.360000,0.960000,0.080000,0.140000,0.060000,0.060000,0.000000,0.000000,0.000000,0.000000
a1,无限制生成,type_c,qwen3.6-plus,49,64.489796,88.000000,16.000000,100.000000,0.428571,0.551020,0.122449,0.081633,0.244898,0.408163,1.530612,1.530612,0.204082,0.204082,0.306122,0.755102,0.285714,0.530612,0.020408,0.020408,0.020408,0.020408,0.000000,0.000000,0.000000,0.000000
b1,五词牌-无主题,type_b,deepseek-3.2-thinking,200,68.800000,88.000000,40.000000,100.000000,0.440000,0.545000,0.145000,0.150000,0.160000,0.425000,2.980000,2.800000,0.095000,0.095000,0.375000,1.445000,0.425000,1.155000,0.060000,0.060000,0.045000,0.045000,0.180000,0.180000,0.000000,0.000000
b1,五词牌-无主题,type_b,doubao-seed-2.0-pro,200,92.120000,100.000000,100.000000,100.000000,0.795000,0.880000,0.060000,0.015000,0.045000,0.750000,0.675000,0.495000,0.040000,0.040000,0.115000,0.185000,0.120000,0.200000,0.010000,0.015000,0.055000,0.055000,0.180000,0.180000,0.000000,0.000000
b1,五词牌-无主题,type_b,glm-5,98,54.897959,70.000000,0.000000,100.000000,0.346939,0.397959,0.163265,0.122449,0.316327,0.346939,4.795918,4.632653,0.163265,0.163265,0.428571,2.316327,0.459184,1.969388,0.061224,0.142857,0.040816,0.040816,0.163265,0.163265,0.000000,0.000000
b1,五词牌-无主题,type_b,qwen3.6-plus,188,61.978723,88.000000,0.000000,100.000000,0.494681,0.569149,0.069149,0.031915,0.329787,0.452128,1.377660,1.260638,0.308511,0.308511,0.143617,0.398936,0.159574,0.382979,0.053191,0.106383,0.063830,0.063830,0.117021,0.117021,0.000000,0.000000
